[00:00:00,000 --> 00:00:03,820] Hello大家好 歡迎回到我們金貴的關係2.0的課堂
[00:15:53,750 --> 00:15:56,810] 她說她老公有一個大哥很厲害
[00:15:56,810 --> 00:15:59,950] 她就說她準備跟大哥一塊搞項目
[00:15:59,950 --> 00:16:03,270] 但是她自己其實一天班都沒上過
[00:16:03,270 --> 00:16:05,310] 我說你都沒上過班
[00:16:05,310 --> 00:16:06,370] 你有什麼能力
[00:16:06,370 --> 00:16:09,250] 那個大哥為啥要帶著你一塊搞項目呀
[00:16:09,250 --> 00:16:11,330] 我說她看著你身上的什麼了
[00:16:11,330 --> 00:16:13,630] 然後她說我可以給她投錢
[00:16:14,290 --> 00:16:16,870] 可是這個女生其實她也沒有太多的錢
[00:16:16,870 --> 00:16:18,610] 她可能總共辛辛苦苦這麼多年
[00:16:18,610 --> 00:16:19,830] 也就攢了三四十萬
[00:16:19,830 --> 00:16:21,170] 大家可以想想看
[00:16:21,170 --> 00:16:23,730] 如果他跟着這個所謂的大哥去投錢的話
[00:16:23,730 --> 00:16:24,690] 最後的結果是什麼
[00:16:24,690 --> 00:16:26,810] 一定是打水漂對吧
[00:16:26,810 --> 00:16:29,550] 那他家裡人知道這個事都不讓他搞
[00:16:29,550 --> 00:16:33,290] 但是他還覺得他家裡人其實是在遏制他的生長
[00:16:33,870 --> 00:16:34,310] 所以呢
[00:16:34,310 --> 00:16:37,230] 我說大家一定要警惕自己的這種賭性
[00:16:37,230 --> 00:16:39,050] 如果你啥都不懂
[00:16:39,050 --> 00:16:41,970] 你就想靠砸錢就來飛黃騰達
[00:16:41,970 --> 00:16:43,130] 我認為這個到最後
[00:16:43,130 --> 00:16:45,750] 你一定就是那個被殺豬盤殺的豬
[00:16:45,750 --> 00:16:46,690] 我之前呢
[00:16:46,690 --> 00:16:48,750] 很早期很早期的時候有一個助理
[00:16:48,750 --> 00:16:49,530] 他爸爸也是
[00:16:49,530 --> 00:16:53,090] 一天到晚呢 就是投這個礦 投那個礦
[00:16:53,090 --> 00:16:54,430] 然後投一個虧一個
[00:16:54,430 --> 00:16:57,410] 其實呢 它就是老聽別人說做礦賺錢
[00:16:57,410 --> 00:17:00,770] 然後它就跟那些買基金買股票的人一樣一樣的
[00:17:00,770 --> 00:17:03,050] 很多人以前完全沒有進出過股票
[00:17:03,050 --> 00:17:06,470] 只要這段時間有人說啊 你這個行情要好啦
[00:17:06,470 --> 00:17:10,890] 怎麼樣 它誇的就直接把所有的錢都拿進去炒股了
[00:17:10,890 --> 00:17:12,070] 最後導致血本無歸
[00:17:12,070 --> 00:17:13,470] 我前兩天看到一個視頻
[00:17:13,470 --> 00:17:16,070] 就有一個女生她就哭著發了一個視頻
[00:17:16,070 --> 00:17:19,110] 然後她說她聽到別人那個大V說全倉猛幹
[00:17:19,790 --> 00:17:23,790] 結果他把自己的貨款全部投到了股市裏邊
[00:17:23,790 --> 00:17:26,610] 結果這個貨款一下子虧掉了80%
[00:17:26,610 --> 00:17:28,470] 他就在鏡頭面前在那哭啊
[00:17:29,030 --> 00:17:30,830] 這種看起來很不可思議的事情
[00:17:30,830 --> 00:17:32,590] 大家不要覺得這是個個例
[00:17:32,590 --> 00:17:34,910] 它是個非常非常普遍的現象
[00:17:34,910 --> 00:17:37,570] 每時每刻都在我們的身邊發生
[00:17:37,570 --> 00:17:40,430] 所以我們要警惕自己的這種賭性
[00:17:40,430 --> 00:17:44,410] 不要讓這種人性的弱點發生在我們的身上
[00:17:44,410 --> 00:17:46,850] 更不要迷信所謂的什麼大V啊
[00:17:46,850 --> 00:17:48,970] 所謂的一些什麼大佬啊牛人啊
[00:17:48,970 --> 00:17:50,930] 给你的一些投资建议
[00:17:50,930 --> 00:17:52,090] 不要懒惰
[00:17:52,090 --> 00:17:53,930] 不要想着不劳而获
[00:17:53,930 --> 00:17:55,830] 如果你真的想要去投钱
[00:17:55,830 --> 00:17:57,370] 参与到一个领域里面
[00:17:57,370 --> 00:17:59,450] 一定要保障自己对这个行业
[00:17:59,450 --> 00:18:02,490] 有充分的摸索和了解好
[00:18:02,490 --> 00:18:04,470] 了解了以上三个决策
[00:18:04,470 --> 00:18:06,350] 常见的误区的时候呢
[00:18:06,350 --> 00:18:07,870] 我们接下来再来看一看
[00:18:07,870 --> 00:18:09,430] 做决策和选择的时候
[00:18:09,430 --> 00:18:12,110] 最应该掌握的原则是什么
[00:18:12,110 --> 00:18:14,970] 那就是行动推动决策
[00:18:14,970 --> 00:18:15,930] 这个知识点呢
[00:18:15,930 --> 00:18:18,630] 我之前经常在这部片里头给大家说啊
[00:18:18,630 --> 00:18:21,970] 但是这里呢 我给大家要拆解的更加的细致
[00:18:21,970 --> 00:18:27,470] 所谓的行动推动决策呢 其实就是给对方设置一个行动标准
[00:18:27,470 --> 00:18:29,910] 或者给你的项目设置一个指标
[00:18:30,330 --> 00:18:38,770] 当对方做了这个动作 或者当这个项目符合了这个指标的时候 那么你就要下定决心贯彻你相应的这个选择
[00:18:39,170 --> 00:18:46,290] 就好比谈恋爱的时候 你给对方设置了一个不能劈叉的标准 那么一旦对方劈叉了
[00:18:46,290 --> 00:18:48,550] 無論怎麼樣就都要分手
[00:18:48,550 --> 00:18:50,610] 這個就是行動推動的決策
[00:18:50,610 --> 00:18:54,150] 要好比你剛開始在創業的時候給自己設置了一個說
[00:18:54,150 --> 00:18:57,050] 我一年要賺10萬的這個標準
[00:18:57,050 --> 00:18:58,670] 那麼到了一年之後呢
[00:18:58,670 --> 00:18:59,970] 如果賺到了10萬
[00:18:59,970 --> 00:19:03,030] 我們一定要毫不猶豫的勾印進去猛幹
[00:19:03,030 --> 00:19:05,290] 如果到了一年賺不到這個錢
[00:19:05,290 --> 00:19:07,930] 那麼我們就可以選擇好好的回去上班
[00:19:07,930 --> 00:19:09,890] 也不要給自己找藉口
[00:19:09,890 --> 00:19:12,750] 那麼這個呢就是行動推動決策
[00:19:12,750 --> 00:19:13,970] 很多人的人生啊
[00:19:13,970 --> 00:19:16,410] 所以會這麼的糾結 這麼痛苦
[00:19:16,410 --> 00:19:19,410] 其實就是沒有貫徹行動推動決策
[00:19:19,410 --> 00:19:22,770] 就像是他明明設置了不能劈叉的標準
[00:19:22,770 --> 00:19:25,970] 可是等到他真的要跟這個男的分開了的時候呢
[00:19:25,970 --> 00:19:27,590] 他又會找別的藉口
[00:19:27,590 --> 00:19:30,830] 從細緻末節裡頭去找理由不想分開
[00:19:30,830 --> 00:19:33,130] 就反復反復的去打自己的臉
[00:19:33,130 --> 00:19:34,910] 讓自己不斷的浪費精力
[00:19:34,910 --> 00:19:38,130] 在同一件事情裡面反復的折磨
[00:19:38,200 --> 00:19:40,920] 在創業當中呢我也看到很多人沒有辦法
[00:19:40,920 --> 00:19:43,020] 去貫徹這個準則
[00:19:43,020 --> 00:19:45,180] 最終深陷泥潭當中
[00:19:45,180 --> 00:19:47,080] 比如說我們在投某一個企業
[00:19:47,080 --> 00:19:49,000] 或者是找合夥人的時候呢
[00:19:49,000 --> 00:19:50,620] 起碼要有一個標準叫做
[00:19:50,620 --> 00:19:52,500] 這個人的發心是正的
[00:19:52,500 --> 00:19:54,460] 或者他真的是想幹史事
[00:19:54,460 --> 00:19:56,940] 那麼一旦發現對方的發心不正的時候
[00:19:56,940 --> 00:20:00,320] 那麼我們要麼就得及時的糾正他
[00:20:00,320 --> 00:20:01,620] 如果糾正不了
[00:20:01,620 --> 00:20:03,520] 那麼我們就要立刻跟他散伙
[00:20:03,520 --> 00:20:05,000] 這個才叫理性決策
[00:20:05,000 --> 00:20:06,200] 比如說我之前啊
[00:20:06,200 --> 00:20:07,660] 其實有一個大老朋友
[00:20:07,660 --> 00:20:09,940] 他曾經就犯過一個這樣的錯誤
[00:20:09,940 --> 00:20:12,800] 而且我呢也親眼的見證了他這個錯誤
[00:20:12,800 --> 00:20:15,260] 當時他投了一個工廠
[00:20:15,260 --> 00:20:18,780] 然後其實呢 他在投了這個工廠之後呢
[00:20:18,780 --> 00:20:19,760] 他就發現啊
[00:20:19,760 --> 00:20:22,120] 這個工廠的一把手和二把手之間
[00:20:22,120 --> 00:20:24,540] 他們其實是有很深的矛盾的
[00:20:24,540 --> 00:20:25,440] 那一把手呢
[00:20:25,440 --> 00:20:27,780] 是這個工廠的創始人 客戶
[00:20:27,780 --> 00:20:29,880] 就是銷售渠道其實都是他的
[00:20:29,880 --> 00:20:31,240] 這個二把手呢
[00:20:31,240 --> 00:20:33,160] 他是一個搞技術的
[00:20:33,160 --> 00:20:35,200] 一個博士 技術都是他的
[00:20:35,200 --> 00:20:36,260] 那麼你想想看
[00:20:36,260 --> 00:20:39,020] 一個掌握了銷售這個大口子的人
[00:20:39,020 --> 00:20:40,920] 和一個掌握了技術大口子的人
[00:20:40,920 --> 00:20:41,920] 兩個人鬧矛盾
[00:20:41,920 --> 00:20:45,080] 是不是會對這個公司產生非常大的影響
[00:20:45,080 --> 00:20:46,380] 然後當時我就問他
[00:20:46,380 --> 00:20:47,800] 我說這個事既然已經這樣了
[00:20:47,800 --> 00:20:49,040] 你準備怎麼解決呢
[00:20:49,790 --> 00:20:51,590] 結果他當時給我回答說
[00:20:51,590 --> 00:20:53,630] 哎呀等這個問題爛了
[00:20:53,630 --> 00:20:54,710] 他說我不想解決
[00:20:54,710 --> 00:20:55,870] 他說等這個問題爛
[00:20:56,580 --> 00:20:59,180] 因為那個時候他其實沒有辦法
[00:20:59,180 --> 00:21:01,040] 在這兩個人當中做取捨
[00:21:01,040 --> 00:21:02,580] 他又覺得兩個人都很重要
[00:21:02,580 --> 00:21:03,860] 兩個人也都有股份
[00:21:03,860 --> 00:21:05,640] 必須得把這個公司往下幹
[00:21:05,640 --> 00:21:06,900] 可是實際上呢
[00:21:06,900 --> 00:21:08,740] 這兩個人他們不僅矛盾很大
[00:21:08,740 --> 00:21:11,420] 而且他們內心當中都有著自己的算盤
[00:21:11,420 --> 00:21:14,700] 結果到最後可想而知這個公司是真的垮了
[00:21:15,300 --> 00:21:17,260] 那垮了的原因是什麼呢
[00:21:17,260 --> 00:21:19,820] 一方面是因為那個二把手
[00:21:19,820 --> 00:21:21,300] 因為他搞技術嘛
[00:21:21,300 --> 00:21:25,360] 他就總是不願意把他最先進的技術拿到這個工廠來
[00:21:25,360 --> 00:21:27,060] 因為一把手的股份比他多
[00:21:27,060 --> 00:21:29,240] 他不想讓那個一把手掙的比他多
[00:21:29,240 --> 00:21:32,920] 那另外一方面就是那個一把手也因為客戶都在自己的手上
[00:21:32,920 --> 00:21:35,140] 所以他又偷偷出去
[00:21:35,140 --> 00:21:37,300] 另外幹了一個同志類的工廠
[00:21:37,300 --> 00:21:39,980] 等於說最後呢就把我這個大老朋友給他架空了
[00:21:41,620 --> 00:21:44,700] 那我们重新再去复盘这件事情呢 我们就会发现
[00:21:44,700 --> 00:21:49,220] 当你已经发现了这个一把手和二把手之间有这么深的矛盾的时候
[00:21:49,220 --> 00:21:52,880] 你一定是要及时处理的 你要不然呢 就是
[00:21:52,880 --> 00:21:56,640] 想办法去把所有的这些客户一点一点的
[00:21:56,640 --> 00:22:00,680] 挪到自己的可控范围之内 比如说找一个另外的一个销售啊
[00:22:00,680 --> 00:22:04,240] 去跟着这个一把手去跑 能够掌握到他的一些销售链路
[00:22:04,240 --> 00:22:08,840] 要不然呢 就是你在一旦发现他把所有的销售链路都掌握的时候
[00:22:08,840 --> 00:22:10,980] 你要把經驗協議給他簽明白了
[00:22:10,980 --> 00:22:13,940] 或者說你就找一個人把這個做技術的人
[00:22:13,940 --> 00:22:15,440] 也能夠給他替代掉
[00:22:15,440 --> 00:22:17,620] 當你發現這兩個人的價值觀和發薪
[00:22:17,620 --> 00:22:18,880] 都不是那麼正的時候
[00:22:18,880 --> 00:22:21,440] 一定要對這兩個人進行深度的
[00:22:21,440 --> 00:22:23,340] 這種協調和溝通
[00:22:23,340 --> 00:22:24,760] 哪怕說你是仁慈一點
[00:22:24,760 --> 00:22:27,100] 給他們一次這個改過自新的機會
[00:22:27,100 --> 00:22:30,000] 但是一旦犯錯超過兩次
[00:22:30,000 --> 00:22:31,920] 那麼你要麼就擺平他們
[00:22:31,920 --> 00:22:33,900] 如果擺不平他們你就擺平自己
[00:22:33,900 --> 00:22:35,040] 什麼叫擺平自己呢
[00:22:35,040 --> 00:22:36,800] 趁著那個工廠還沒爆雷嗎
[00:22:36,800 --> 00:22:38,600] 你趕緊把你手上的股份給他賣掉
[00:22:38,600 --> 00:22:40,940] 這樣才叫行動推動決策
[00:22:40,940 --> 00:22:44,140] 但是當時呢我的那個大老朋友他就是什麼都沒有做
[00:22:44,140 --> 00:22:48,620] 結果最後呢就白白的眼睜睜的看著一個很好很好的項目
[00:22:48,620 --> 00:22:50,220] 被這兩個人給玩垮了
[00:22:50,220 --> 00:22:51,680] 我再舉一個例子啊
[00:22:51,680 --> 00:22:53,460] 就是我原來呢在做自媒體的時候
[00:22:53,460 --> 00:22:56,360] 一開始呢其實我是做的唱歌博主啊
[00:22:56,360 --> 00:22:58,880] 結果有一次看電視劇那個三傻而已的時候呢
[00:22:58,880 --> 00:23:02,260] 我就忍不住吐槽了裡邊的這個小三李悠悠
[00:23:02,260 --> 00:23:05,060] 然後呢就發了一段視頻一下子就爆了
[00:23:05,060 --> 00:23:08,160] 然後他就遠遠的超過了我當時唱歌的流量
[00:23:08,160 --> 00:23:10,140] 后来呢我就给自己说
[00:23:10,140 --> 00:23:14,180] 我说如果我连发三条跟情感相关的视频
[00:23:14,180 --> 00:23:17,680] 每一条的播放量都超过十万
[00:23:17,680 --> 00:23:19,720] 那么我就立刻转赛道
[00:23:19,720 --> 00:23:21,640] 结果我连发了三条之后
[00:23:21,640 --> 00:23:23,980] 播放量就真的都超过十万了
[00:23:23,980 --> 00:23:25,920] 所以我就当机立断
[00:23:25,920 --> 00:23:28,320] 把我以前所有的那些唱歌的视频
[00:23:28,320 --> 00:23:30,140] 就全部隐藏了
[00:23:30,140 --> 00:23:32,520] 一头就扎根到了情感赛道当中
[00:23:32,520 --> 00:23:35,480] 那这个呢其实就是我说的行动推动决策
[00:23:35,480 --> 00:23:38,520] 一旦這個結果符合了你制定的指標
[00:23:38,520 --> 00:23:41,480] 那麼就要堅定不移的把這個決策推進下去
[00:23:41,480 --> 00:23:45,240] 包括我剛開始做私密哼哈項目的時候也是這樣的
[00:23:45,240 --> 00:23:48,220] 第一場哼哈課我們就賺到錢了
[00:23:48,220 --> 00:23:49,700] 其實賺到錢的過程當中
[00:23:49,700 --> 00:23:51,980] 我們當然也引發了很多很多問題
[00:23:51,980 --> 00:23:53,800] 因為我們剛開始做這個事
[00:23:53,800 --> 00:23:56,640] 就會發現在我不深度參與的情況下
[00:23:56,640 --> 00:23:59,260] 客戶有的時候他的滿意度會很低
[00:23:59,800 --> 00:24:02,780] 有的老闆可能在這個維度上他就會為難了
[00:24:02,780 --> 00:24:04,200] 覺得這麼多問題都要發生
[00:24:04,200 --> 00:24:06,200] 反正我現在這個業態也挺掙錢的
[00:24:06,200 --> 00:24:09,180] 我做這個新的業務又不一定能掙很多錢
[00:24:09,180 --> 00:24:11,120] 要不然這個業務就別幹了
[00:24:11,120 --> 00:24:12,560] 因為太麻煩了嘛
[00:24:12,560 --> 00:24:13,480] 可是在我看來
[00:24:13,480 --> 00:24:15,740] 我一開始在做這個項目的時候
[00:24:15,740 --> 00:24:17,900] 我就想我就只判斷這個項目
[00:24:17,900 --> 00:24:20,500] 它到底有沒有錢可以掙
[00:24:20,500 --> 00:24:22,140] 我不在乎它掙多掙少
[00:24:22,140 --> 00:24:24,140] 我只在乎的是一旦我動了手
[00:24:24,140 --> 00:24:26,900] 是否這個項目它就能夠實實在在的
[00:24:26,900 --> 00:24:28,120] 帶來一些現金流
[00:24:28,120 --> 00:24:31,380] 我認為只要它能夠帶來一些現金流
[00:24:31,380 --> 00:24:34,240] 我就要堅定不移的把這個項目做下去
[00:24:34,240 --> 00:24:34,860] 所以呢
[00:24:34,860 --> 00:24:36,740] 在我看來第一場活動
[00:24:36,740 --> 00:24:38,380] 無論他出現了多少問題
[00:24:38,380 --> 00:24:41,740] 但是我給他制定的這個關鍵性指標叫做盈利
[00:24:41,740 --> 00:24:44,060] 盈利的這個關鍵性指標達到了
[00:24:44,060 --> 00:24:45,720] 那麼我就一定要幹
[00:24:45,720 --> 00:24:46,920] 剩下的問題是什麼
[00:24:46,920 --> 00:24:50,220] 剩下的問題是服務有問題就調整服務
[00:24:50,220 --> 00:24:52,760] 流程有問題就調整流程
[00:24:52,760 --> 00:24:55,280] 然後把我們的客訴全部解決掉
[00:24:55,280 --> 00:24:56,860] 這就是我要面對的
[00:24:56,860 --> 00:24:59,080] 而不是要把這個項目放棄掉
[00:24:59,080 --> 00:25:01,320] 而是要把這個項目當中出現的問題
[00:25:01,320 --> 00:25:02,800] 一一的把它攻克掉
[00:25:02,800 --> 00:25:03,560] 那麼這個呢
[00:25:03,560 --> 00:25:05,540] 就是我說的行動推動決策
[00:25:05,540 --> 00:25:06,620] 標準一旦達成
[00:25:06,620 --> 00:25:09,480] 就要堅定不移執行當初的選擇
[00:25:09,480 --> 00:25:11,740] 剩下的就是遇到問題解決問題
[00:25:11,740 --> 00:25:12,060] 好
[00:25:12,060 --> 00:25:13,000] 那在這裡呢
[00:25:13,000 --> 00:25:14,400] 我們把行動推動決策
[00:25:14,400 --> 00:25:15,760] 拆分的更加細緻
[00:25:15,760 --> 00:25:17,300] 我們要在做決策的時候
[00:25:17,300 --> 00:25:19,700] 學會指贏和指損
[00:25:19,700 --> 00:25:21,580] 我們先來看指損啊
[00:25:21,580 --> 00:25:23,760] 那就是你要在做決策和選擇的時候
[00:25:23,760 --> 00:25:25,500] 設置一個指損線
[00:25:25,500 --> 00:25:26,740] 這個指損線呢
[00:25:26,740 --> 00:25:27,820] 可能是時間上的
[00:25:27,820 --> 00:25:30,480] 也可能是成本或者預算上的
[00:25:30,480 --> 00:25:32,080] 一旦超過了這個止損線
[00:25:32,080 --> 00:25:33,700] 你就不要再繼續了
[00:25:33,700 --> 00:25:35,120] 我剛開始做自媒體的時候
[00:25:35,120 --> 00:25:37,960] 其實就給自己設置了一個止損線
[00:25:37,960 --> 00:25:39,060] 兩個吧
[00:25:39,060 --> 00:25:40,720] 一個叫做一年時間
[00:25:40,720 --> 00:25:43,220] 一個叫做10萬塊的成本
[00:25:43,220 --> 00:25:45,560] 也就是說我要一年時間
[00:25:45,560 --> 00:25:47,760] 如果說花光了10萬塊
[00:25:47,760 --> 00:25:50,040] 依然沒有把我的自媒體賬號做起來
[00:25:50,040 --> 00:25:51,580] 那麼我就去上班
[00:25:51,580 --> 00:25:53,200] 或者是換別的行業
[00:25:53,200 --> 00:25:55,280] 總之我就短時間之內
[00:25:55,280 --> 00:25:57,160] 不會再碰這個自媒體了
[00:25:57,160 --> 00:26:01,380] 那麼這個裏面的壹年時間其實叫做我設置的時間支撐線
[00:26:01,380 --> 00:26:04,260] 那十萬塊錢的成本叫做成本支撐線
[00:26:04,260 --> 00:26:06,780] 當然實際上我沒有到壹年
[00:26:06,780 --> 00:26:11,440] 我大概是在第八九個月的時候就開始實現盈利了
[00:26:11,440 --> 00:26:12,700] 好我再舉壹個例子
[00:26:12,700 --> 00:26:15,260] 就是我前幾天看到壹個視頻是
[00:26:15,260 --> 00:26:18,420] 余敏紅說自己當初在做東方針選的時候
[00:26:18,420 --> 00:26:20,420] 向董事會提了壹個請求
[00:26:20,420 --> 00:26:23,800] 他說他申請每年虧損壹個億
[00:26:23,800 --> 00:26:25,500] 連續虧五年
[00:26:25,500 --> 00:26:28,280] 如果到第5年東方甄選還沒有做出來
[00:26:28,280 --> 00:26:29,540] 那就不做了
[00:26:29,540 --> 00:26:30,360] 當然呢
[00:26:30,360 --> 00:26:32,800] 東方甄選到現在才做到第3年啊
[00:26:32,800 --> 00:26:35,120] 我們看到他已經很賺錢了
[00:26:35,120 --> 00:26:38,260] 那麽余敏宏在做東方文旅的時候又是這樣
[00:26:38,260 --> 00:26:41,680] 他也是要求董事會讓他5年虧30個億
[00:26:41,680 --> 00:26:44,020] 如果這30個億文旅還沒有做出來
[00:26:44,020 --> 00:26:45,400] 他就不做了
[00:26:45,400 --> 00:26:47,500] 所以說余敏宏也是這個樣子的
[00:26:47,500 --> 00:26:48,260] 關於時間
[00:26:48,260 --> 00:26:50,980] 比如說5年這個叫做時間之存限
[00:26:50,980 --> 00:26:51,980] 關於金額
[00:26:51,980 --> 00:26:53,840] 前面說每年虧1個億
[00:26:53,840 --> 00:26:55,120] 5年就是5個億嘛
[00:26:55,120 --> 00:26:57,080] 或者後面那個說虧30個億嘛
[00:26:57,080 --> 00:26:59,600] 那這個呢其實就是他的成本之損險
[00:26:59,600 --> 00:27:02,060] 那接下來呢我們再來看指贏
[00:27:02,060 --> 00:27:03,500] 這個所謂的指贏啊
[00:27:03,500 --> 00:27:07,080] 其實我們要設立一個營收的標準
[00:27:07,360 --> 00:27:09,480] 為什麼會設立這個營收的標準呢
[00:27:09,480 --> 00:27:12,120] 是因為在我的認知體系當中
[00:27:12,120 --> 00:27:15,060] 我應該對這個事有一個全盤的判斷
[00:27:15,060 --> 00:27:17,440] 我認為它值多少錢
[00:27:17,440 --> 00:27:20,140] 一旦他的營收到達了這個標準
[00:27:20,140 --> 00:27:23,680] 那麼我們就可以考慮退出和轉型
[00:27:23,680 --> 00:27:25,600] 讓自己若待為安
[00:27:25,600 --> 00:27:26,820] 如果你不止贏呢
[00:27:26,820 --> 00:27:28,940] 你很容易會怎麼樣的就是
[00:27:28,940 --> 00:27:31,100] 被現有的盈利衝破了頭腦
[00:27:31,100 --> 00:27:32,600] 最後呢導致被套牢
[00:27:32,600 --> 00:27:35,440] 可能會連之前的盈利也一塊打進去
[00:27:35,440 --> 00:27:38,660] 這個呢其實就是我想到這個段永平啊
[00:27:38,660 --> 00:27:39,840] 他就說過一段話
[00:27:39,840 --> 00:27:42,180] 就是當初他在投萬科的時候呢
[00:27:42,180 --> 00:27:44,480] 萬科的股票是兩塊錢
[00:27:44,480 --> 00:27:48,120] 他估算到說萬科最後就會漲到十塊錢
[00:27:48,120 --> 00:27:50,840] 他認為兩塊錢的萬科是被低估了的
[00:27:50,840 --> 00:27:51,260] 所以呢
[00:27:51,260 --> 00:27:54,440] 當他進場以後 確確實實萬科就漲了
[00:27:54,440 --> 00:27:56,020] 結果漲到10塊錢的時候呢
[00:27:56,020 --> 00:27:57,840] 他就把萬科的股票給賣掉了
[00:27:58,240 --> 00:28:01,380] 結果沒有想到呢 萬科最後漲到了50塊錢
[00:28:01,980 --> 00:28:05,060] 可是呢 他就不會像很多人拍大腿是吧
[00:28:05,060 --> 00:28:08,200] 哎呀 我賣早了呀 要不然我可以賺那麼多倍
[00:28:08,200 --> 00:28:09,860] 他只會覺得說 我沒有問題
[00:28:09,860 --> 00:28:14,200] 因為以我對萬科的認知 他就是值10塊錢
[00:28:14,200 --> 00:28:17,000] 那麼所有的超過了10塊錢的部分
[00:28:17,000 --> 00:28:19,140] 就是我看不懂的部分
[00:28:19,140 --> 00:28:21,080] 我不會感到後悔
[00:28:21,080 --> 00:28:26,940] 那麼因為我認為我不應該去讓自己去試圖賺認知以外的錢
[00:28:26,940 --> 00:28:29,980] 一旦你要去試圖賺了一次認知以外的錢
[00:28:29,980 --> 00:28:35,040] 很有可能你就會養成想要去賺認知以外的錢的這種習慣
[00:28:35,040 --> 00:28:37,080] 那麼一次可能你會成功
[00:28:37,080 --> 00:28:40,620] 可是長時間看下來你最終還是會虧損的
[00:28:40,620 --> 00:28:43,560] 這個其實就是叫指贏的大智慧
[00:28:43,560 --> 00:28:46,840] 這個才是真正對自己的行為和決策負責
[00:28:46,840 --> 00:28:49,280] 相反那些天天喊著賣早了的人
[00:28:49,280 --> 00:28:52,220] 你們可以想象他們的動作是什麼樣的
[00:28:52,220 --> 00:28:53,660] 贏了錢以後他就會覺得
[00:28:53,660 --> 00:28:55,940] 哎呀可能還能再漲漲吧
[00:28:55,940 --> 00:28:57,480] 可能還能再漲漲吧
[00:28:57,480 --> 00:29:00,780] 結果呢最後其實也會錯過那個所謂的最高點
[00:29:00,780 --> 00:29:03,440] 絕大部分的平民老百姓在炒股的時候
[00:29:03,440 --> 00:29:05,960] 最後就這樣可能就被套牢了
[00:29:05,960 --> 00:29:07,820] 那談戀愛呢也是一樣的道理
[00:29:07,820 --> 00:29:10,180] 有些女生和對方在一起呢
[00:29:10,180 --> 00:29:11,560] 往往是為了她的付出
[00:29:11,560 --> 00:29:12,980] 為了她的物質條件
[00:29:12,980 --> 00:29:15,920] 而當這個男生本身經濟條件很好的時候呢
[00:29:15,920 --> 00:29:17,680] 他可能就會為這個女生付出很多
[00:29:17,680 --> 00:29:20,820] 可是當這個男生經濟條件不行了的時候
[00:29:20,820 --> 00:29:23,760] 他肯定會反過來找這個女生去借錢
[00:29:24,480 --> 00:29:26,280] 那很多女生她就會覺得
[00:29:26,280 --> 00:29:28,980] 哎呀她後面肯定還會再起來的吧
[00:29:28,980 --> 00:29:30,580] 要不我就先借她吧
[00:29:30,580 --> 00:29:33,980] 結果呢借一次借兩次借三次
[00:29:34,380 --> 00:29:36,060] 直到最後借到
[00:29:36,060 --> 00:29:38,920] 甚至把原來這個男的給她花的錢全部都吐出去了
[00:29:38,920 --> 00:29:41,060] 可能還要倒往裡頭填
[00:29:41,060 --> 00:29:43,260] 那你說你這個事是不是做的
[00:29:43,260 --> 00:29:46,240] 其實就是決策上非常大的一個失誤啊
[00:29:46,240 --> 00:29:48,120] 那在這個地方大家要注意啊
[00:29:48,120 --> 00:29:48,960] 我們這個案例呢
[00:29:48,960 --> 00:29:53,440] 僅僅是針對在關係當中想要去突兀這價值的這樣一部分女生
[00:29:53,440 --> 00:29:57,240] 那麼也僅僅針對過於貪心和不懂指引的女生
[00:29:57,240 --> 00:29:58,560] 如果你們是正常婚戀
[00:29:58,560 --> 00:30:01,160] 那我們就不要談這個話題了啊
[00:30:01,160 --> 00:30:02,440] 好 我再來舉一個例子
[00:30:02,440 --> 00:30:03,980] 有很多的企業呢
[00:30:03,980 --> 00:30:06,160] 其實他依然是在盈利的
[00:30:06,160 --> 00:30:08,400] 可是你能夠肉眼可見的
[00:30:08,400 --> 00:30:12,640] 他的盈利一年比一年斷崖式的下跌
[00:30:12,640 --> 00:30:14,260] 可能他原來最輝煌的時候
[00:30:14,260 --> 00:30:15,480] 一年能夠盈利500萬
[00:30:15,480 --> 00:30:17,840] 然后后面就变成一三百万
[00:30:17,840 --> 00:30:19,340] 在后面的盈利一百万
[00:30:19,340 --> 00:30:21,380] 在后面可能只剩五十万
[00:30:21,380 --> 00:30:23,540] 再干下去你能够看得见
[00:30:23,540 --> 00:30:25,280] 它可能就要亏了
[00:30:25,280 --> 00:30:27,460] 可是这个时候呢 这些老板就会觉得说
[00:30:27,460 --> 00:30:29,420] 可是我还在盈利呀
[00:30:29,420 --> 00:30:32,400] 你让我现在不干这个了 我又能去干什么呢
[00:30:32,400 --> 00:30:33,740] 说不定我再抢救一下
[00:30:33,740 --> 00:30:35,880] 还能等着它重新回暖呢
[00:30:35,880 --> 00:30:37,520] 可是呢 这个时候我认为大家
[00:30:37,520 --> 00:30:39,620] 就不应该再抱着这个
[00:30:40,180 --> 00:30:41,620] 沉重的负担了
[00:30:41,620 --> 00:30:44,120] 我觉得要么就是要开辟新的盈利模式
[00:30:44,120 --> 00:30:47,180] 要么找到新的上升赛道
[00:30:47,180 --> 00:30:50,260] 而不能跟着这个行业一起去下沉
[00:30:50,260 --> 00:30:52,700] 其实呢说白了就是在亏损的时候
[00:30:52,700 --> 00:30:55,640] 我们不要被沉默成本所绑架
[00:30:55,640 --> 00:30:56,840] 在盈利的时候
