[00:00:00,000 --> 00:00:01,420] Hello 寶子们你们好
[00:16:15,350 --> 00:16:18,710] 所以說我們之所以要堅持這種長期主義
[00:16:18,710 --> 00:16:21,510] 或者說要把自己向上生長的
[00:16:21,510 --> 00:16:23,010] 這樣一個目的最終是什麼
[00:16:23,010 --> 00:16:27,210] 其實呢是在拓寬我們生命的無限可能
[00:16:32,750 --> 00:16:35,530] 那在這裡呢我額外啊要奉勸那些
[00:16:35,530 --> 00:16:37,510] 準備讀書生造啊
[00:16:37,510 --> 00:16:39,950] 或者已經是在海外留學的
[00:16:39,950 --> 00:16:41,550] 這樣的一些女孩子一句
[00:16:41,550 --> 00:16:44,510] 你們不要呢試圖去搞什麼大佬啊
[00:16:44,510 --> 00:16:45,750] 走所謂的捷徑
[00:16:45,750 --> 00:16:48,790] 因為你們還根本不明白什麼叫捷徑
[00:16:48,790 --> 00:16:51,430] 其實我們在金貴的關係1.0裡邊呢
[00:16:51,430 --> 00:16:53,810] 給大家講過情緒價值的二八定律
[00:16:53,810 --> 00:16:54,690] 那在這裡呢
[00:16:54,690 --> 00:16:56,350] 我有一個新的定律
[00:16:56,350 --> 00:16:58,910] 叫做捷徑的二八定律
[00:16:58,910 --> 00:16:59,990] 這什麼意思呢
[00:16:59,990 --> 00:17:01,170] 就是你要知道啊
[00:17:01,170 --> 00:17:02,730] 人生呢有兩條路
[00:17:02,730 --> 00:17:05,150] 一條叫做先苦後甜
[00:17:05,150 --> 00:17:08,450] 另外一條叫做先甜後苦
[00:17:08,450 --> 00:17:12,540] 但是苦和甜的比例它是不一樣的
[00:17:12,540 --> 00:17:14,520] 並不是我們想像中的五五開
[00:17:14,520 --> 00:17:16,580] 而是二八開的
[00:17:16,580 --> 00:17:18,860] 排在前面的永遠是佔20%
[00:17:18,860 --> 00:17:22,000] 後面的永遠是佔80%
[00:17:22,000 --> 00:17:25,260] 比如說你選了一條先苦後甜的路
[00:17:25,260 --> 00:17:28,000] 一開始抖可能你會覺得很坎坷
[00:17:28,000 --> 00:17:32,360] 但是把前面的這個20%的苦吃完了
[00:17:32,360 --> 00:17:35,340] 后面你就会迎来80%的甜
[00:17:35,860 --> 00:17:37,280] 反过来说
[00:17:37,280 --> 00:17:39,780] 如果你选择了先甜后苦
[00:17:39,780 --> 00:17:41,060] 那么同样的
[00:17:41,060 --> 00:17:43,740] 当你把前面的20%的甜吃完了
[00:17:43,740 --> 00:17:48,280] 你也会去尝到那个后面的80%的苦
[00:17:48,400 --> 00:17:49,920] 所以那问题就来了
[00:17:49,920 --> 00:17:53,820] 这两条路到底哪条路才算是捷径呢
[00:17:54,810 --> 00:17:56,730] 就很多年轻的一些宝宝们
[00:17:56,730 --> 00:17:58,330] 他们觉得搞快钱啊
[00:17:58,330 --> 00:17:59,490] 搞慈禁啊
[00:17:59,490 --> 00:18:00,710] 好像是捷径
[00:18:00,710 --> 00:18:02,970] 其实就是因为你只看到了
[00:18:02,970 --> 00:18:06,610] 你也變成前的這個20%的一段距離
[00:18:06,610 --> 00:18:09,290] 覺得這段路好輕鬆好簡單
[00:18:09,290 --> 00:18:09,910] 但是呢
[00:18:09,910 --> 00:18:13,010] 你們並沒有真正的站到上帝視角上面
[00:18:13,010 --> 00:18:16,190] 看到這條完整的路是什麼樣子的
[00:18:16,190 --> 00:18:17,010] 而我呢
[00:18:17,010 --> 00:18:19,010] 是這麼多年一路走過來
[00:18:19,010 --> 00:18:22,990] 可以說已經看到了這條路的一個全夢
[00:18:23,090 --> 00:18:26,410] 你以為你看到的20%是全部的人生
[00:18:26,410 --> 00:18:27,450] 但是得不然
[00:18:27,450 --> 00:18:30,190] 後面的路其實它會更加的難走
[00:18:30,190 --> 00:18:30,950] 那麼這個呢
[00:18:30,950 --> 00:18:32,090] 不叫真正的捷徑
[00:18:32,090 --> 00:18:35,730] 这个只是一条充满诱惑的弯路而已
[00:18:35,730 --> 00:18:37,630] 相反的 先苦后甜
[00:18:37,630 --> 00:18:40,570] 其实它很有可能才是真正的解禁
[00:18:40,570 --> 00:18:44,330] 我们在前面先把这些难啃的骨头全部都啃完了
[00:18:44,330 --> 00:18:46,930] 把难读的书都读完了
[00:18:46,930 --> 00:18:50,910] 看上去好像你前面的20年都在吃苦
[00:18:50,910 --> 00:18:53,170] 但是之后我们就会迎来曙光
[00:18:53,170 --> 00:18:54,430] 会看到机会
[00:18:54,430 --> 00:18:57,430] 后面80年的路会越来越轻松
[00:18:57,620 --> 00:19:01,540] 所以我们倡导要坚持长期主义
[00:19:01,540 --> 00:19:03,980] 不是為了長期而長期
[00:19:03,980 --> 00:19:07,140] 而是為了未來的十年二十年
[00:19:07,140 --> 00:19:08,300] 甚至是一輩子
[00:19:08,300 --> 00:19:11,200] 大家能拿到一個更大的更長遠的結果
[00:19:11,200 --> 00:19:14,800] 如果說你甘心說我只賺一筆就離場
[00:19:14,800 --> 00:19:15,960] 就想躺著
[00:19:15,960 --> 00:19:18,540] 那確實長期主義不是很適合你
[00:19:18,540 --> 00:19:21,080] 但是如果你想要拿到更大的結果
[00:19:21,080 --> 00:19:22,920] 觸碰到更高的天花板
[00:19:22,920 --> 00:19:25,600] 那麼我們就得必須堅持長期主義
[00:19:27,340 --> 00:19:28,400] 講到這裡呢
[00:19:28,400 --> 00:19:30,640] 其實很多寶寶應該都已經知道了啊
[00:19:30,640 --> 00:19:32,380] 堅持長期主義的重要性
[00:19:32,380 --> 00:19:34,300] 但是在這個過程當中
[00:19:34,300 --> 00:19:37,880] 我們一定會遇到很多的誘惑和苦難
[00:19:37,880 --> 00:19:41,160] 讓你一次又一次忍不住的就想要去放棄
[00:19:41,160 --> 00:19:44,620] 或者說不知不覺地走到了一條歪路上面
[00:19:44,620 --> 00:19:47,120] 所以接下來我要跟大家分享三個
[00:19:47,120 --> 00:19:50,760] 幫助我們堅持長期主義的小方法
[00:19:55,140 --> 00:19:58,580] 第一個就是堅持農耕邏輯
[00:19:58,580 --> 00:20:00,800] 拋棄有牧思維
[00:20:00,800 --> 00:20:02,140] 什麼叫有牧思維
[00:20:02,140 --> 00:20:04,200] 大家都知道有牧民族吧
[00:20:04,200 --> 00:20:06,300] 他們就是沒有自己的一畝三分地的
[00:20:06,300 --> 00:20:08,180] 就只能這裡去守夜一下
[00:20:08,180 --> 00:20:09,660] 那裡去掠奪一下
[00:20:09,660 --> 00:20:11,180] 類比到創業裡面呢
[00:20:11,180 --> 00:20:13,840] 就是你一下子想開奶茶店
[00:20:13,840 --> 00:20:15,700] 一下子想去賣酒
[00:20:15,700 --> 00:20:18,560] 就沒有自己的一個基本盤和根據地
[00:20:18,560 --> 00:20:21,720] 這樣呢其實沒有沉澱和積累的
[00:20:21,720 --> 00:20:23,720] 真正能夠出大結果的
[00:20:23,720 --> 00:20:25,780] 其實就是跟農民是一樣的
[00:20:25,780 --> 00:20:28,660] 只有在一片田地上深耕下去
[00:20:28,660 --> 00:20:29,540] 死磕到底
[00:20:29,540 --> 00:20:32,890] 我給大家舉一下我自己的例子啊
[00:20:32,890 --> 00:20:35,930] 就是我在做自媒體之前的十年
[00:20:35,930 --> 00:20:38,330] 其实是做过很多很多事儿的
[00:20:38,330 --> 00:20:39,930] 而且所有的事情呢
[00:20:39,930 --> 00:20:42,170] 我可以说都拿到了一定的结果
[00:20:42,170 --> 00:20:44,130] 我以前不管是去唱歌啊
[00:20:44,130 --> 00:20:45,590] 还是说去做新闻啊
[00:20:45,590 --> 00:20:46,890] 做传媒公司啊
[00:20:46,890 --> 00:20:50,870] 卖酒卖玉石卖珠宝卖茶叶是吧
[00:20:50,870 --> 00:20:54,110] 所有的事情其实我都拿到了一定的结果
[00:20:54,110 --> 00:20:56,550] 但是呢当我回头去复盘的时候啊
[00:20:56,550 --> 00:20:59,490] 我发现自己身上就有一个致命的弱点
[00:20:59,520 --> 00:21:02,280] 那就是每一次拿到一个小结果之后
[00:21:02,280 --> 00:21:03,560] 哎我就不想干了
[00:21:04,080 --> 00:21:05,420] 每次拿到一点小结果
[00:21:05,420 --> 00:21:06,640] 我就會覺得沾沾自喜
[00:21:06,640 --> 00:21:08,740] 覺得這個領域我已經看明白了
[00:21:08,740 --> 00:21:10,040] 我已經玩會了
[00:21:10,040 --> 00:21:11,560] 覺得不夠如此嘛
[00:21:11,560 --> 00:21:12,200] 我就走了
[00:21:12,200 --> 00:21:12,880] 然後呢
[00:21:12,880 --> 00:21:15,360] 迅速的就去尋找下一個戰場了
[00:21:15,840 --> 00:21:16,960] 後來我就發現啊
[00:21:16,960 --> 00:21:18,860] 其實在這個過程當中呢
[00:21:18,860 --> 00:21:22,740] 我的人脈不會因此而形成圈層
[00:21:22,740 --> 00:21:24,640] 客戶的信任壁壘呢
[00:21:24,640 --> 00:21:26,440] 我也沒有說堆砌的很高
[00:21:26,440 --> 00:21:30,260] 我沒有做到任何的無法被替代的
[00:21:30,260 --> 00:21:32,600] 這種絕對的核心競爭力
[00:21:32,600 --> 00:21:33,580] 那相反啊
[00:21:33,580 --> 00:21:35,580] 十年前那個不如我的
[00:21:35,580 --> 00:21:41,100] 没有我聪明的,没有我技术好的,或说没有我能力强的那些人
[00:21:41,100 --> 00:21:43,440] 他们反而淡出了大结果
[00:21:43,440 --> 00:21:48,820] 就是因为他这十年以来可能都在一个领域,在深耕专注着做一件事
[00:21:48,820 --> 00:21:50,740] 把一件事打穿,打透
[00:21:50,740 --> 00:21:53,800] 所以呢,他就积累出了一个很大的需求
[00:21:53,800 --> 00:21:58,100] 成为了行业的比较优秀的这样一些从业者
[00:21:58,100 --> 00:21:59,600] 拿到了比较好的结果
[00:21:59,600 --> 00:22:03,060] 我觉得我身上这个毛病其实可能很多我的粉丝
[00:22:03,060 --> 00:22:06,260] 都有着跟我差不多的一些感受跟共鸣
[00:22:06,260 --> 00:22:06,960] 为什么呢
[00:22:06,960 --> 00:22:08,740] 因为其实我的粉丝跟我一样
[00:22:08,740 --> 00:22:10,600] 你们都是属于聪明人
[00:22:10,600 --> 00:22:13,580] 而我刚刚讲的这个致命的弱点就是
[00:22:13,580 --> 00:22:15,320] 每次打到一个战场
[00:22:15,320 --> 00:22:16,340] 迅速拿到结果
[00:22:16,340 --> 00:22:18,100] 然后就想要去换下一个战场
[00:22:18,100 --> 00:22:19,740] 就觉得自己挺厉害的
[00:22:19,740 --> 00:22:22,080] 其实这样的一种毛病啊
[00:22:22,080 --> 00:22:24,480] 更多的时候是容易在智商高
[00:22:24,480 --> 00:22:27,220] 聪明的人身上才会浮现的
[00:22:27,220 --> 00:22:29,780] 往往那些自诩为自己是笨蛋的
[00:22:29,780 --> 00:22:30,420] 这样一些人
[00:22:30,420 --> 00:22:34,880] 他們反而不會犯下這樣的錯誤
[00:22:34,880 --> 00:22:35,640] 說白了
[00:22:35,640 --> 00:22:36,620] 打游擊戰
[00:22:36,620 --> 00:22:37,780] 做游牧民族
[00:22:37,780 --> 00:22:39,600] 只是在做加法
[00:22:39,600 --> 00:22:41,840] 這個理解它是沒有負力的
[00:22:41,840 --> 00:22:44,220] 我每次從0到1跑通之後呢
[00:22:44,220 --> 00:22:46,360] 又是跑了另外一個從0到1
[00:22:46,360 --> 00:22:49,040] 其實每次都只拿到了一個結果
[00:22:49,040 --> 00:22:51,560] 然後就是1加1加1加1
[00:22:51,560 --> 00:22:53,840] 這就是我們前面十年的人生
[00:22:53,840 --> 00:22:55,460] 可是人家卻不是
[00:22:55,460 --> 00:22:57,780] 人家呢卻不斷的在做乘法
[00:22:57,780 --> 00:22:59,280] 甚至是在做平方
[00:22:59,280 --> 00:23:01,060] 它是1加1之後的平方的
[00:23:01,060 --> 00:23:02,340] 平方的平方的平方
[00:23:02,940 --> 00:23:05,720] 所以说我们的差距就会越来越大
[00:23:05,720 --> 00:23:10,240] 这个呢就是我原来给大家说什么叫做走Z字形呢
[00:23:10,240 --> 00:23:12,320] 其实就是我们没有沉下心来
[00:23:12,320 --> 00:23:13,940] 一直深更在一个领域
[00:23:14,800 --> 00:23:15,660] 那后来呢
[00:23:15,660 --> 00:23:18,840] 我跟自己其实是做过非常深度的对话的
[00:23:18,840 --> 00:23:20,960] 我觉得如果我还像现在这个样
[00:23:20,960 --> 00:23:22,280] 把一枪换个地方
[00:23:22,280 --> 00:23:24,160] 那么十年之后的我
[00:23:24,160 --> 00:23:26,400] 会跟今天的我看起来
[00:23:26,400 --> 00:23:28,300] 没有太大的差别
[00:23:28,300 --> 00:23:31,440] 其實這個也是有一定的靈感的
[00:23:31,440 --> 00:23:33,320] 因為我身邊有認識到一些
[00:23:34,360 --> 00:23:36,720] 比較前輩一些的女性吧
[00:23:36,720 --> 00:23:39,500] 她們給我帶來了不小的衝擊
[00:23:39,500 --> 00:23:41,500] 就是因為我看到那些可能
[00:23:41,500 --> 00:23:43,920] 我已經認識了十年的一些女生
[00:23:43,920 --> 00:23:46,380] 在十年前我就覺得她是一個很聰慧
[00:23:46,380 --> 00:23:48,600] 很優秀、很漂亮的這樣一個人
[00:23:48,600 --> 00:23:51,480] 但是十年之後我在看到她的時候
[00:23:51,480 --> 00:23:54,440] 我發現由於她的年齡可能已經到了
[00:23:54,440 --> 00:23:56,240] 四十幾歲的這個年齡了
[00:23:56,240 --> 00:24:02,140] 然後這個時候呢 他們反而在人群當中顯得更為平庸了
[00:24:02,560 --> 00:24:11,060] 我以前是有過很大的這種衝擊感的 所以當我看到他們這樣的人物形象的時候 我那一刻在想 我很害怕十年之後的我
[00:24:11,060 --> 00:24:13,160] 也活成今天的他們
[00:24:14,190 --> 00:24:19,970] 所以在那一刻 我覺得我的那場自我的深度對話其實救了我自己的
[00:24:19,970 --> 00:24:22,310] 那么我们要找到一件我想干的事
[00:24:22,310 --> 00:24:23,890] 然后扎进去
[00:24:23,890 --> 00:24:25,210] 拿到结果之后
[00:24:25,210 --> 00:24:26,770] 坚决不能彻底
[00:24:26,770 --> 00:24:27,950] 持续深更
[00:24:27,950 --> 00:24:31,810] 这个其实就是我们需要给自己植入的这种心貌
[00:24:32,970 --> 00:24:35,050] 我现在呢做这个自媒体啊
[00:24:35,050 --> 00:24:37,070] 做女性成长相的这种博主
[00:24:37,070 --> 00:24:38,350] 其实我已经做了五年了
[00:24:38,350 --> 00:24:40,730] 可以说是我人生当中
[00:24:40,730 --> 00:24:42,010] 除了唱歌以外
[00:24:42,010 --> 00:24:44,230] 坚持的时间最长的一件事
[00:24:44,230 --> 00:24:44,970] 而且呢
[00:24:44,970 --> 00:24:47,210] 我也相信我会一直把它坚持下去
[00:24:47,210 --> 00:24:48,730] 无论在这个过程当中
[00:24:48,730 --> 00:24:51,190] 我遇到了什么样的困难 挫折
[00:24:51,190 --> 00:24:53,510] 或者不是封口啊
[00:24:53,510 --> 00:24:54,450] 也不是红利了
[00:24:54,450 --> 00:24:55,750] 但是这些都不重要
[00:24:55,750 --> 00:24:56,650] 重要的是
[00:24:56,650 --> 00:24:59,650] 我决定要把这件事干穿干透
[00:24:59,650 --> 00:25:00,330] 干到底
[00:25:01,710 --> 00:25:03,630] 而且呢大家可能会发现啊
[00:25:03,630 --> 00:25:05,690] 就是我跟其他的博主呢
[00:25:05,690 --> 00:25:07,970] 其实在业务上面也是有很大不同的
[00:25:07,970 --> 00:25:09,070] 那别的博主呢
[00:25:09,070 --> 00:25:11,790] 他们在热衷于做所谓的知识付费的时候
[00:25:11,790 --> 00:25:14,610] 他们会追着封口去卖客
[00:25:14,610 --> 00:25:15,550] 什么意思呢
[00:25:15,550 --> 00:25:17,690] 就是今天情感挣钱
[00:25:17,690 --> 00:25:20,350] 跨全部過去幹情感是吧
[00:25:20,350 --> 00:25:23,630] 明天AI掙錢 跨全部過去幹AI
[00:25:23,630 --> 00:25:25,070] 後天說這個
[00:25:25,070 --> 00:25:26,270] 怎麼孵化IP
[00:25:26,270 --> 00:25:28,110] 做IP的這個知識付費掙錢
[00:25:28,110 --> 00:25:31,010] 跨的全部湧過去教大家怎麼做IP
[00:25:31,230 --> 00:25:32,190] 但是呢
[00:25:32,190 --> 00:25:34,750] 大家會發現其實我是不一樣的
[00:25:34,750 --> 00:25:36,090] 那我的金貴的關係
[00:25:36,090 --> 00:25:39,210] 1.0到2.0中間其實已經隔了有
[00:25:39,210 --> 00:25:41,310] 兩三年的一個時間了
[00:25:41,310 --> 00:25:44,610] 我們才出了這樣的一個迭代的一個課程
[00:25:45,760 --> 00:25:47,840] 我覺得如果真的要等我做到
[00:25:47,840 --> 00:25:51,420] 我經過這三年了可能我娃都生了不止一個了
[00:25:51,420 --> 00:25:52,640] 可能兩三個娃了
[00:25:53,880 --> 00:25:56,720] 所以說大家會發現其實我做的內容
[00:25:56,720 --> 00:26:01,700] 本質上的都是圍繞著我的這個女性成長的這個主題
[00:26:01,700 --> 00:26:03,080] 一直在做的
[00:26:03,080 --> 00:26:06,220] 我並沒有說追著熱點去賣客
[00:26:06,220 --> 00:26:08,340] 因為我認為追著熱點賣客的行為
[00:26:08,340 --> 00:26:10,680] 本質上它還是在打一槍換個地方
[00:26:10,680 --> 00:26:12,120] 還是在走Z字形
[00:26:12,120 --> 00:26:14,740] 還是動高高吸高高賺快錢沒有沉澱
[00:26:14,740 --> 00:26:20,440] 所以我的重點就是要放在我們的主體業務就是在做情感的諮詢
[00:26:20,440 --> 00:26:23,800] 那麼我們決定了要持續生根,做萬年的生意
[00:26:23,800 --> 00:26:27,600] 那麼如果要做萬年的生意,就必須要迎合萬年的需求
[00:26:27,600 --> 00:26:30,200] 所以我不僅僅是在解決別人的情感問題
[00:26:30,200 --> 00:26:36,400] 同時我是在解決別人一生當中可能會因為女性的性別
[00:26:36,400 --> 00:26:39,380] 而帶來的種種樣的這種人生困惑
[00:26:40,590 --> 00:26:44,050] 那麼我相信無論這個世界它變成什麼樣子
[00:26:44,050 --> 00:26:46,570] 不管是在很多年前的所谓的啊
[00:26:46,570 --> 00:26:48,850] 这个一夫多妻是吧
[00:26:48,850 --> 00:26:50,930] 还是说现在的一夫一妻
[00:26:50,930 --> 00:26:53,710] 还是说未来逐渐的女性的这个社会地位
[00:26:53,710 --> 00:26:55,950] 她随着这个时间的推移
[00:26:55,950 --> 00:26:57,430] 她也会越来越高
[00:26:57,430 --> 00:27:00,010] 那么我所抓住的这样的一个痛点
[00:27:00,010 --> 00:27:01,650] 它是不会消失的
[00:27:01,650 --> 00:27:02,390] 作为女性
[00:27:02,390 --> 00:27:04,430] 你可能会遇到情感上的困惑
[00:27:04,430 --> 00:27:05,850] 遇到事业上的困惑
[00:27:05,850 --> 00:27:07,870] 遇到人生发展上的困惑对吧
[00:27:07,870 --> 00:27:10,490] 只要大家依然有这样一些的困惑
[00:27:10,490 --> 00:27:12,290] 那么我们的这个咨询
[00:27:12,290 --> 00:27:14,830] 它就是始終有市場價值的
[00:27:16,330 --> 00:27:17,450] 所以這就是我說的
[00:27:17,450 --> 00:27:19,070] 我可以一直做這個生意
[00:27:19,070 --> 00:27:20,630] 做一萬年啊
[00:27:20,630 --> 00:27:21,590] 不走季子型
[00:27:21,590 --> 00:27:23,270] 選擇一個終身事業
[00:27:23,270 --> 00:27:24,950] 並為之努力奮鬥
[00:27:25,910 --> 00:27:27,190] 然後更進一步的呢
[00:27:27,190 --> 00:27:29,430] 大家知道為什麼很多的
[00:27:29,430 --> 00:27:31,530] 這個下決心要搞雄勁的
[00:27:31,530 --> 00:27:32,270] 這樣一些寶物們
[00:27:32,270 --> 00:27:34,470] 會忍不住的去走季子型啊
[00:27:34,470 --> 00:27:35,630] 因為很大的一個原因
[00:27:35,630 --> 00:27:38,050] 其實就是因為男人啊
[00:27:38,050 --> 00:27:40,590] 男人在干擾你的思維
[00:27:40,590 --> 00:27:41,910] 就比如說你有的女生
[00:27:41,910 --> 00:27:43,230] 她上了兩天班是吧
[00:27:43,230 --> 00:27:45,550] 结果找了大哥 拿了个生活费
[00:27:45,550 --> 00:27:49,150] 他就不想上班了 放弃工作了
[00:27:49,150 --> 00:27:50,790] 觉得我做做美容啊
[00:27:50,790 --> 00:27:51,950] 是不是买俩奢侈品啊
[00:27:51,950 --> 00:27:52,710] 哄哄大哥们啊
[00:27:52,710 --> 00:27:54,270] 我这个人生过得很爽
[00:27:55,190 --> 00:27:56,150] 或者说呢
[00:27:56,150 --> 00:27:58,230] 在你本来想要努力奋斗的过程当中
[00:27:58,230 --> 00:27:59,870] 这个时候有一些男的过来说
[00:27:59,870 --> 00:28:01,270] 哎 我能帮你搞搞这
[00:28:01,270 --> 00:28:02,430] 哎 我能帮你搞搞那
[00:28:02,430 --> 00:28:03,610] 实则呢
[00:28:03,610 --> 00:28:05,530] 你是被他画他饼
[00:28:05,930 --> 00:28:08,070] 他的这种光环所欺骗了
[00:28:08,070 --> 00:28:09,910] 本来你自己事业做得很好的
[00:28:09,910 --> 00:28:12,590] 没想到还因为他这个倒插一脚
[00:28:12,590 --> 00:28:15,150] 导致你后面那个盘子变得很混乱
[00:28:17,440 --> 00:28:19,680] 结果呢你们有的时候明明是在搞事业
[00:28:19,680 --> 00:28:22,300] 搞着搞着就莫名其妙的跟别人搞感情去了
[00:28:23,100 --> 00:28:23,460] 然后
[00:28:23,460 --> 00:28:28,240] 把自己好不容易经营出来的这样一个事业板块就放掉了
[00:28:28,240 --> 00:28:31,080] 最终呢是偏离了自己的轨道和框架
[00:28:31,330 --> 00:28:35,050] 当然我不是说让他不要结婚或是不要找男人
[00:28:35,430 --> 00:28:37,550] 你们都知道我是很爱男人的
[00:28:37,550 --> 00:28:39,190] 我从来都不排斥男人
[00:28:39,190 --> 00:28:41,730] 这种生物存在在我的生命当中啊
[00:28:41,730 --> 00:28:47,110] 我只是說呢 如果說你找的男人是可以真的助力於你騰飛的
[00:28:47,110 --> 00:28:50,070] 不會拖你後腿的 當然沒有問題
[00:28:50,070 --> 00:28:54,430] 可是如果你找的男的 他每天拉扯你的情緒
[00:28:54,430 --> 00:29:01,070] 干擾你的動作 甚至於他老是想讓你去放棄自己的野心
[00:29:01,070 --> 00:29:03,610] 那麼這種男人就要不得
[00:29:03,610 --> 00:29:06,410] 那我們這個時候一定要警惕告誡自己
[00:29:06,410 --> 00:29:09,990] 穩定住框架 堅定好自己的方向
[00:29:11,140 --> 00:29:13,520] 好,那這個呢,就是我們所說的第一點啊
[00:29:13,520 --> 00:29:15,480] 接下來呢,我們來看看第二點
[00:29:15,480 --> 00:29:19,000] 堅持第一訴求,不要,既要又要
[00:29:19,000 --> 00:29:23,100] 老子們,你們知道女人雄勁為什麼會這麼難嗎?
[00:29:23,440 --> 00:29:27,640] 為什麼這麼多的人,他沒有辦法堅持長期主義,持續往下走呢?
[00:29:28,280 --> 00:29:30,740] 其實呢,社會枷鎖是一個方面啊
[00:29:30,740 --> 00:29:32,260] 男權壓迫也是一個方面
[00:29:32,260 --> 00:29:34,640] 但是我認為最核心的一個點位呢
[00:29:34,640 --> 00:29:37,680] 其實是誘惑太多,想要的太多
[00:29:37,680 --> 00:29:39,600] 說白了,就是貪
[00:29:39,600 --> 00:29:41,080] 既要又要还要
[00:29:41,080 --> 00:29:42,260] 我举个例子
[00:29:42,260 --> 00:29:43,260] 就是我之前呢
[00:29:43,260 --> 00:29:45,020] 有一个连线的一个宝宝
[00:29:45,020 --> 00:29:46,740] 他呢快30了
[00:29:46,740 --> 00:29:48,340] 他自己是做余波的
[00:29:48,340 --> 00:29:50,480] 一直以来呢就波得不温不火
[00:29:50,480 --> 00:29:54,200] 那他呢就很希望自己能够把自己波火
[00:29:54,200 --> 00:29:56,580] 啊也想让自己成为一个真正的
[00:29:56,580 --> 00:29:58,300] 这种余波平台的网红
[00:29:58,300 --> 00:30:02,120] 但同时呢他又很想去走婚恋啊
[00:30:02,860 --> 00:30:07,440] 那么这两件事情他到底能不能同时按到呢
[00:30:07,440 --> 00:30:08,680] 其实在这个纬路上
[00:30:08,680 --> 00:30:11,080] 我认为它就有一点点的鸡要有眼
[00:30:11,080 --> 00:30:12,120] 为什么呢
[00:30:12,120 --> 00:30:15,380] 因为当你想要把自己做火的时候啊
[00:30:15,380 --> 00:30:18,140] 你做余波你怎么能够把自己做火
[00:30:18,390 --> 00:30:19,550] 那么这个做火
[00:30:19,550 --> 00:30:20,930] 我经常跟大家讲
[00:30:20,930 --> 00:30:22,570] 在自媒体行业想要做火
[00:30:22,570 --> 00:30:24,250] 首先第一条就叫什么叫不要脸
[00:30:25,320 --> 00:30:26,060] 对吧
[00:30:26,060 --> 00:30:29,140] 那如果说你在做火的这个道路上
[00:30:29,140 --> 00:30:30,940] 可能你要非常的奔放
[00:30:30,940 --> 00:30:33,520] 啊就是不管你是通过聊天啊
[00:30:33,520 --> 00:30:35,420] 还是通过这种舞蹈也好啊
[00:30:35,420 --> 00:30:35,980] 是吧
[00:30:35,980 --> 00:30:39,540] 嗯你一定要比别人显得更为的大方
[00:30:39,540 --> 00:30:41,620] 更加的放縱
[00:30:41,620 --> 00:30:43,920] 然後你才有可能去收穫到
[00:30:43,920 --> 00:30:45,040] 額外的流量
[00:30:45,040 --> 00:30:47,600] 然後讓自己變成一個火的
[00:30:47,600 --> 00:30:48,900] 這樣一個主播
[00:30:48,900 --> 00:30:50,760] 可是如果你腦子裡想的是
[00:30:50,760 --> 00:30:52,540] 我想找一個男結婚
[00:30:52,540 --> 00:30:54,260] 那麼這個時候你要表現什麼呢
[00:30:54,260 --> 00:30:56,960] 你是不是得表現出一個好嫁風
[00:30:57,380 --> 00:30:58,320] 什麼所謂的好嫁風
[00:30:58,320 --> 00:31:00,420] 比如說大部分的這種
[00:31:00,980 --> 00:31:03,520] 想要把所謂的女生
[00:31:03,520 --> 00:31:04,740] 娶回家的這種男人
[00:31:04,740 --> 00:31:06,900] 他會被形象於你是一個
[00:31:06,900 --> 00:31:14,020] 摆巧一点的呀 是吧 听话一点的呀 善解人意一点的呀 等等的 这样些维度 这他就是好驾风啊
[00:31:14,830 --> 00:31:19,230] 那你想想看你这两件事情 他其实本质上根本就不是一件事
[00:31:19,750 --> 00:31:24,190] 你怎么能够在你这个直播的时候 你脑子已经分岔了的情况下是吧
[00:31:24,190 --> 00:31:31,790] 我到底是不要脸呢还是好驾风啊 你脑子已经分岔了的情况下 你还怎么能把这两件事同时给他做好呢
[00:31:31,790 --> 00:31:36,810] 那他之前其实就是一直纠结在这两者之间 然后浪费了非常非常多的时间
[00:31:37,150 --> 00:31:39,390] 那到現在了也快30歲了
[00:31:39,390 --> 00:31:41,090] 這個魚缽魚缽也沒做虎 是吧
[00:31:41,090 --> 00:31:42,710] 然後嫁嗎嫁嗎也沒嫁出去
[00:31:43,150 --> 00:31:43,590] 所以呢
[00:31:43,590 --> 00:31:45,650] 我常常就是要跟大家講說
[00:31:45,650 --> 00:31:48,590] 我們一定要明白什麼是自己的
[00:31:48,590 --> 00:31:50,410] 第一訴求 主訴求
[00:31:50,410 --> 00:31:53,550] 然後什麼是叫做邊緣化訴求
[00:31:53,550 --> 00:31:56,890] 那麼我們說主訴求 第一訴求必須達成
[00:31:56,890 --> 00:31:58,970] 邊緣化訴求就是可有可無
[00:32:01,800 --> 00:32:03,060] 好 說到這兒
[00:32:03,060 --> 00:32:06,300] 可能很多寶寶還是不知道自己最想要的是什麼
[00:32:06,300 --> 00:32:08,260] 不知道自己的第一訴求是什麼
[00:32:08,260 --> 00:32:11,680] 那没有关系,在这个地方呢,我给大家一个小技巧
[00:32:11,680 --> 00:32:13,600] 那就是做剪法
[00:32:13,600 --> 00:32:18,800] 你可以尝试着把自己的所有的可能的诉求全部都列出来
[00:32:18,800 --> 00:32:21,380] 然后一个一个的删掉
[00:32:21,860 --> 00:32:25,460] 到最后,删无可删,剪无可剪
[00:32:25,460 --> 00:32:30,380] 只剩下最后一个,就是你无论如何都不想删减的诉求
