[00:00:00,000 --> 00:00:01,780] 哈喽宝子们大家好
[00:17:14,070 --> 00:17:16,850] 这种事情我们是不可能去干的
[00:17:16,850 --> 00:17:17,610] 为什么呢
[00:17:17,610 --> 00:17:21,310] 因为首先第一点就是这个它无法形成规模
[00:17:21,310 --> 00:17:25,850] 我呢是一个有着非常远大的理想跟抱负的人
[00:17:25,850 --> 00:17:27,370] 我要把公司做大
[00:17:27,370 --> 00:17:31,850] 所以说我必须要保证我们的员工哪怕是脱离我
[00:17:31,850 --> 00:17:36,730] 他依然能够非常有序的进行运转和成交
[00:17:36,730 --> 00:17:39,330] 那你们说像见人下菜这种事情
[00:17:39,330 --> 00:17:40,510] 它多难呢
[00:17:40,510 --> 00:17:42,870] 我们先不说这个里面道德层面的问题
[00:17:42,870 --> 00:17:45,270] 我们就说技术层面的问题
[00:17:45,270 --> 00:17:47,130] 就是你根据不同的人
[00:17:47,130 --> 00:17:49,110] 然后你就能给出不同的价格
[00:17:49,110 --> 00:17:51,330] 并且还能把这个人成交掉
[00:17:51,330 --> 00:17:52,530] 你想想看
[00:17:52,530 --> 00:17:54,030] 这件事本身
[00:17:54,030 --> 00:17:58,250] 它就比同一个价格卖所有的人要难的多的多的多
[00:17:58,250 --> 00:18:01,030] 这个很考验你对于对话的这个对象
[00:18:01,030 --> 00:18:02,450] 他的这种把控
[00:18:02,450 --> 00:18:03,490] 他的承受能力
[00:18:03,490 --> 00:18:05,170] 方方面面的这种观察
[00:18:05,170 --> 00:18:09,090] 我怎么能够找到这么多牛逼的人才
[00:18:09,090 --> 00:18:11,750] 在第一環節的銷售前端
[00:18:11,750 --> 00:18:15,950] 就能幹出這麼高規格和高難度的銷售動作呢
[00:18:15,950 --> 00:18:17,610] 我有可能招到的每一個銷售
[00:18:17,610 --> 00:18:19,150] 都是這麼厲害的人嗎
[00:18:19,150 --> 00:18:21,630] 首先這件事就是不可能的 對吧
[00:18:21,630 --> 00:18:24,570] 就無論我的企業是有100人 1000個人
[00:18:24,570 --> 00:18:28,250] 我希望他們都是在正常的培訓之後
[00:18:28,250 --> 00:18:31,510] 都能夠正常的去上崗運作
[00:18:31,510 --> 00:18:34,790] 只有這樣 我才有可能做出一個超級大型的企業
[00:18:34,790 --> 00:18:36,450] 對不對 好
[00:18:36,450 --> 00:18:38,270] 那一個是無法形成規模
[00:18:38,270 --> 00:18:40,950] 再一个就是这样的定价体系
[00:18:40,950 --> 00:18:44,170] 你们想想看会让我这个企业变得多么难以管理
[00:18:44,170 --> 00:18:44,750] 为什么呢
[00:18:45,750 --> 00:18:49,510] 如果说所有的销售都可以见人下菜的
[00:18:49,510 --> 00:18:50,810] 一人一架
[00:18:51,330 --> 00:18:58,110] 那么有没有可能说我们的导师就会进行一个非常难以分配的状态里
[00:18:58,590 --> 00:19:01,830] 我多少钱去分配一个什么样的教父导师
[00:19:01,830 --> 00:19:03,990] 他如何去定性的问题
[00:19:03,990 --> 00:19:06,070] 200块钱的老师我选谁
[00:19:06,070 --> 00:19:07,730] 2万块钱的老师我选谁
[00:19:07,730 --> 00:19:09,650] 30万的老师我选谁
[00:19:09,650 --> 00:19:13,250] 他们之间真的有那么大的差距吗
[00:19:13,250 --> 00:19:14,450] 好 这是第一个问号
[00:19:14,450 --> 00:19:15,150] 第二个就是
[00:19:15,150 --> 00:19:19,750] 如果说每一个人他都可以从200块钱的报价报到30万
[00:19:19,750 --> 00:19:22,550] 那么请问我怎么能够保证
[00:19:22,550 --> 00:19:25,450] 每一个环节的人在这个里边刚值不阿
[00:19:25,450 --> 00:19:26,730] 不抽油水
[00:19:26,730 --> 00:19:29,830] 是不是有可能明明这个客户他销售了30万
[00:19:29,830 --> 00:19:32,710] 他就跟我们说他只销售了2万块呢
[00:19:32,710 --> 00:19:34,690] 有没有这种可能呢 对吧
[00:19:34,690 --> 00:19:36,950] 所以这么大的风险问题
[00:19:36,950 --> 00:19:42,530] 你这么多的权限给到了每一个一线的最前沿的员工手上
[00:19:42,530 --> 00:19:48,230] 那你怎么保障你这个公司能够规范化的把它运行下去
[00:19:48,230 --> 00:19:52,530] 所以这些都是极大的隐患和完全没有考虑清楚的事情
[00:19:52,530 --> 00:19:54,750] 我们如果去照搬他的价格体系
[00:19:54,750 --> 00:19:56,150] 那不完蛋了吗
[00:19:56,150 --> 00:19:58,710] 所以说市场价可以参考
[00:19:58,710 --> 00:20:01,510] 但是我建议大家不要招超
[00:20:01,510 --> 00:20:04,170] 真的这个世界是个巨大的草台班子
[00:20:04,170 --> 00:20:06,870] 有些时候你们看到好像有些人做的
[00:20:06,870 --> 00:20:07,790] 感覺挺不錯
[00:20:07,790 --> 00:20:09,690] 可是你真正深度鑽研之後
[00:20:09,690 --> 00:20:11,870] 你會發現這些人簡直是亂七八糟
[00:20:15,460 --> 00:20:16,820] 聊完如何定價之後
[00:20:16,820 --> 00:20:18,080] 我們再來聊一聊
[00:20:18,080 --> 00:20:20,220] 如何不打價格戰
[00:20:20,220 --> 00:20:22,180] 實現產品溢價
[00:20:22,180 --> 00:20:25,500] 這個其實也是非常多的人關心的一個話題
[00:20:25,500 --> 00:20:27,860] 特別是現在做電商的
[00:20:27,860 --> 00:20:29,200] 很多做電商的人
[00:20:29,200 --> 00:20:33,100] 他都會覺得自己在被同行不停的捲價格
[00:20:33,100 --> 00:20:35,520] 被價格戰搞得完全沒有利潤了
[00:20:35,520 --> 00:20:36,640] 非常的痛苦
[00:20:37,440 --> 00:20:40,100] 那接下來呢我來給大家說一說
[00:20:40,100 --> 00:20:42,380] 我想像當中的這個破局之道啊
[00:20:42,380 --> 00:20:44,660] 好首先啊我們來聊一聊價格戰
[00:20:44,660 --> 00:20:50,140] 我認為呢價格戰它一定是一個非常時期的非常舉措
[00:20:50,140 --> 00:20:54,780] 只能是在以下兩種可能性當中才會發生的啊
[00:20:54,780 --> 00:20:57,660] 第一個呢就是你通過你前期的業務
[00:20:57,660 --> 00:21:01,400] 已經進行了大量的利潤的積累
[00:21:01,400 --> 00:21:05,080] 同時呢這個時候你又感覺好像同行手上的先進率
[00:21:05,080 --> 00:21:06,380] 没有那么多
[00:21:06,380 --> 00:21:08,940] 那么这个时候你重拳出击那一下
[00:21:08,940 --> 00:21:11,410] 就可以迅速的撂倒所有的同行
[00:21:12,400 --> 00:21:14,600] 那抢占所有的市场份额
[00:21:14,600 --> 00:21:17,580] 这个肯定不是一开始就是打价格战的
[00:21:17,580 --> 00:21:19,320] 而是因为你前期积累做的好
[00:21:20,060 --> 00:21:23,100] 第二种就是你本身一进场的时候
[00:21:23,100 --> 00:21:26,520] 你背后就有着巨大的资本来撑腰
[00:21:26,520 --> 00:21:30,400] 你一进场就可以用烧钱贴补用户的方式
[00:21:30,400 --> 00:21:31,860] 来抢占市场份额
[00:21:31,860 --> 00:21:34,140] 让用户习惯只用你的产品
[00:21:34,140 --> 00:21:36,680] 把其他的小同行擠兑出局
[00:21:37,140 --> 00:21:39,440] 那么说来说去打价格战
[00:21:39,440 --> 00:21:42,560] 我认为这个都是家大业大的人玩的游戏
[00:21:42,560 --> 00:21:45,000] 并不适合刚刚创业的普通人
[00:21:45,620 --> 00:21:47,540] 而我们普通人要做的
[00:21:47,540 --> 00:21:50,740] 我觉得就是想办法让产品溢价
[00:21:50,740 --> 00:21:53,820] 让我们的产品有更多的利润空间
[00:21:53,820 --> 00:21:56,500] 从而保障自己可持续的发展
[00:21:56,980 --> 00:21:59,580] 具体而言我们要怎么来让产品溢价
[00:21:59,580 --> 00:22:01,800] 我给大家准备了三个方法
[00:22:01,800 --> 00:22:03,640] 第一个就是自主研发
[00:22:04,220 --> 00:22:10,900] 很多商家不得不卷低价的原因是因为他们的产品太过于同质化了
[00:22:10,900 --> 00:22:14,360] 就是这个产品你能卖别人也能卖
[00:22:14,360 --> 00:22:17,600] 那消费者自然而然他是哪个便宜买哪个
[00:22:17,600 --> 00:22:20,140] 所以你就只能卷低价了
[00:22:20,140 --> 00:22:24,620] 但是反过来说你为什么就要和别人卖一模一样的东西呢
[00:22:24,620 --> 00:22:29,740] 你是否可以有自主研发独属于你自己的自家品牌的这种产品
[00:22:29,740 --> 00:22:31,220] 別人沒有 只有我有
[00:22:31,220 --> 00:22:34,320] 那這個定價就自然有我說了算
[00:22:34,320 --> 00:22:36,480] 比如說你們看現在的美妝賽道
[00:22:36,480 --> 00:22:39,020] 其實能夠活得比較好的呢
[00:22:39,020 --> 00:22:39,940] 大概率啊
[00:22:39,940 --> 00:22:41,460] 可能都是賣的
[00:22:41,460 --> 00:22:44,340] 自己品牌的這樣一些美妝產品
[00:22:44,340 --> 00:22:46,500] 我的產品呢也是一樣的
[00:22:46,500 --> 00:22:48,620] 現在市面上面的情感客呀
[00:22:48,620 --> 00:22:51,140] 可以說啊都是超來超去的
[00:22:51,140 --> 00:22:53,100] 但是呢我們做金貴的關係呢
[00:22:53,100 --> 00:22:55,400] 是把我這麼多年的人際關係
[00:22:55,400 --> 00:22:58,920] 情感關係到現在的是事業關係創業關係
[00:22:58,920 --> 00:23:01,420] 全部都提煉成方法論
[00:23:01,420 --> 00:23:03,200] 全網只此一家
[00:23:03,200 --> 00:23:07,380] 所以我們訂的價格也沒有去參照所謂的同行
[00:23:07,380 --> 00:23:09,960] 完全是按照自己的想法來定價的
[00:23:09,960 --> 00:23:12,880] 其實我們的1V1是這個樣子的
[00:23:12,880 --> 00:23:16,540] 就看上去好像大家都在做情感諮詢
[00:23:16,540 --> 00:23:20,980] 但實際上我們這個團隊它解決問題的能力
[00:23:20,980 --> 00:23:22,900] 是非常厲害的
[00:23:22,900 --> 00:23:24,860] 可以說是非常一身見血的
[00:23:24,860 --> 00:23:28,800] 就是垂直於幫大家去拿自己想要當中想要實現的結果
[00:23:29,570 --> 00:23:32,190] 那上次呢我的法務啊他就跟我聊
[00:23:32,190 --> 00:23:35,350] 因為我最近不是找一個網紅經紀人買房子嗎
[00:23:35,810 --> 00:23:37,450] 他說 哎很奇怪啊
[00:23:37,450 --> 00:23:38,950] 為什麼你們買房子的時候
[00:23:38,950 --> 00:23:41,390] 可能會去找一個網紅經紀人去買
[00:23:41,390 --> 00:23:43,310] 但是找律師的時候
[00:23:43,310 --> 00:23:45,390] 你就不一定會去找一個網紅呢
[00:23:45,390 --> 00:23:46,550] 後來呢我就跟他講
[00:23:46,550 --> 00:23:49,250] 我說因為啊作為一個高端的客戶
[00:23:49,250 --> 00:23:51,910] 其實我是會非常非常在意
[00:23:51,910 --> 00:23:54,210] 自己的案子的這個隱私性的
[00:23:54,210 --> 00:23:56,770] 那麼如果我真的需要去找一個律師
[00:23:56,770 --> 00:23:57,850] 來幫我解決問題
[00:23:57,850 --> 00:23:59,650] 我就会去让朋友推荐
[00:23:59,650 --> 00:24:01,770] 而不是找网红律师
[00:24:01,770 --> 00:24:03,050] 紧接着我法务就问
[00:24:03,050 --> 00:24:06,090] 那为什么那么多厉害的有钱的客户
[00:24:06,090 --> 00:24:07,270] 他要来找你以咨询
[00:24:07,270 --> 00:24:08,990] 那么隐私的情感问题呢
[00:24:08,990 --> 00:24:11,310] 他就不在乎隐私在你这曝光吗
[00:24:11,310 --> 00:24:12,330] 然后我就跟他讲
[00:24:12,330 --> 00:24:14,810] 我说那是因为在这个市场上
[00:24:14,810 --> 00:24:16,650] 就没有我的竞争者
[00:24:16,650 --> 00:24:18,630] 没有我的竞品存在
[00:24:18,630 --> 00:24:21,890] 所以说他们也许也会想说
[00:24:21,890 --> 00:24:23,650] 怕自己的隐私暴露的问题
[00:24:23,650 --> 00:24:25,910] 可是为了实现自己的问题
[00:24:25,910 --> 00:24:27,870] 能够得到最垂直的解决方案
[00:24:27,870 --> 00:24:30,210] 他们最后还是只能来找我
[00:24:30,810 --> 00:24:32,550] 所以我们有一句slogan
[00:24:32,550 --> 00:24:33,470] 我不知道大家知不知道
[00:24:33,470 --> 00:24:35,590] 叫做让自己没有竞品
[00:24:35,590 --> 00:24:37,590] 让别人没有选择
[00:24:37,590 --> 00:24:39,370] 当你只有独一份的时候
[00:24:39,370 --> 00:24:41,810] 那么别人自然就得来为你一驾
[00:24:41,810 --> 00:24:45,250] 第二种方式就叫产品组合
[00:24:45,250 --> 00:24:48,090] 很多时候多个单品组合起来
[00:24:48,090 --> 00:24:50,830] 它就会给人呈现一种完全不一样的感觉
[00:24:50,830 --> 00:24:53,510] 也更容易让消费者付高价
[00:24:53,510 --> 00:24:55,810] 就好比你看很多卖衣服的
[00:24:55,810 --> 00:24:59,290] 可能他单件单件来卖 但整体感觉都是差不多的
[00:24:59,890 --> 00:25:06,150] 可是有的服装直播间他就特别能够留住人 为什么呢 因为他的整个的穿搭
[00:25:06,150 --> 00:25:09,010] 衣服的搭配会让你觉得非常好看
[00:25:09,010 --> 00:25:16,510] 这个时候呢 消费者可能就会懒得去找他身上的每一件单品 然后最便宜的在什么地方
[00:25:17,130 --> 00:25:23,870] 所以说他们更倾向于是我就在你这个直播间蹲着 我要把你这一套当中的拿几件全部拿下
[00:25:23,870 --> 00:25:26,890] 那这个其实就是通过产品的组合
[00:25:26,890 --> 00:25:29,710] 来让你实现利润空间和溢价空间
[00:25:29,710 --> 00:25:31,790] 我呢 有一个闺蜜联盟的小伙伴
[00:25:31,790 --> 00:25:34,970] 他呢 也是非常非常懂得这一套打法的
[00:25:35,630 --> 00:25:37,190] 他呢 是卖营养品的
[00:25:37,190 --> 00:25:40,010] 就好像那些什么维生素啊 钙片啊等等
[00:25:40,010 --> 00:25:42,090] 但他呢 卖这些产品的时候
[00:25:42,090 --> 00:25:45,010] 却总能卖出比别人更高的溢价
[00:25:45,010 --> 00:25:46,010] 为什么呢
[00:25:46,010 --> 00:25:49,630] 因为他特别会组合这些产品
[00:25:49,630 --> 00:25:50,690] 就比如说啊
[00:25:50,690 --> 00:25:53,370] 他有一个产品组合叫做涨高组合
[00:25:53,370 --> 00:25:57,930] 其实就是说小孩子如果能同时吃什么什么钙片啦
[00:25:57,930 --> 00:25:59,030] 什么什么维生素啦
[00:25:59,030 --> 00:26:01,670] 还有什么什么哪些元素的东西组合到一块
[00:26:01,670 --> 00:26:04,790] 那么就很利于这个小朋友的长高
[00:26:04,790 --> 00:26:07,690] 所以呢就给他起个名字叫长高组合
[00:26:07,690 --> 00:26:10,810] 那家长一听呢肯定就会觉得很心动嘛对不对
[00:26:10,810 --> 00:26:14,190] 所以就不会一件一件的在网上去比对
[00:26:14,190 --> 00:26:17,110] 然后找到哪一件产品的低价的渠道
[00:26:17,110 --> 00:26:20,410] 而是说直接去找他下单这一整个组合
[00:26:20,410 --> 00:26:24,950] 所以也不会太去计较这里面它到底多挣多少钱的问题了
[00:26:24,950 --> 00:26:28,270] 这个就是通过产品的组合来产生议价
[00:26:28,270 --> 00:26:30,550] 第三个是产品包装
[00:26:30,550 --> 00:26:34,630] 其实很多时候产品的议价往往来源于它的包装
[00:26:34,630 --> 00:26:36,330] 就好像是一瓶水
[00:26:36,330 --> 00:26:40,350] 如果说放在大街上卖可能它只值5块钱
[00:26:40,350 --> 00:26:43,270] 但是这瓶水如果放到高档的餐厅里面
[00:26:43,270 --> 00:26:44,910] 它可能就能卖50块钱
[00:26:44,910 --> 00:26:48,810] 其实就通过包装让大家觉得它值这么多钱
[00:26:49,470 --> 00:26:51,990] 那如果你想讓產品一價
[00:26:51,990 --> 00:26:54,230] 也得通過各種各樣包裝的方式
[00:26:54,230 --> 00:26:56,350] 讓它看起來更貴更值
[00:26:56,350 --> 00:26:57,890] 我來舉一個反面案例
[00:26:57,890 --> 00:26:59,950] 大家知道我是一個非常非常喜歡
[00:26:59,950 --> 00:27:02,310] 買奢侈品的衣服的一個人
[00:27:02,310 --> 00:27:05,210] 可是我每一次去那些奢侈品的
[00:27:05,210 --> 00:27:06,810] 打折的快閃店
[00:27:06,810 --> 00:27:10,010] 我就一件東西都買不出來
[00:27:10,010 --> 00:27:11,590] 就是因為那些快閃店
[00:27:11,590 --> 00:27:15,070] 它每次都會把很昂貴的那些品牌的衣服
[00:27:15,070 --> 00:27:16,870] 密密麻麻的掛在一起
[00:27:16,870 --> 00:27:19,550] 就好像一个批发市场
[00:27:19,550 --> 00:27:21,610] 其实他们都是正品的
[00:27:21,610 --> 00:27:22,930] 比如什么巴黎世家啦
[00:27:22,930 --> 00:27:24,410] 库奇啦 巴布利啦
[00:27:24,410 --> 00:27:25,850] 可是他那么一放之后
[00:27:25,850 --> 00:27:29,170] 感觉那些衣服都挤在一坨皱皱巴巴的
[00:27:29,170 --> 00:27:30,330] 我就觉得天呐
[00:27:30,330 --> 00:27:33,270] 我说我真的不愿意花这么多的钱
[00:27:33,270 --> 00:27:35,410] 在这个地方去买东西
[00:27:35,410 --> 00:27:37,620] 觉得他当他挂在那个地方的时候
[00:27:37,620 --> 00:27:41,680] 他就已经失去了奢侈品所谓的那种调性了
[00:27:42,350 --> 00:27:43,930] 虽然说好像你把那些衣服
[00:27:43,930 --> 00:27:45,950] 如果真的买了穿出去了
[00:27:45,950 --> 00:27:48,150] 本質上外面的人他不會分的出來
[00:27:48,150 --> 00:27:50,370] 你這件衣服到底是在國境買的
[00:27:50,370 --> 00:27:52,270] 還是在快閃店買的
[00:27:52,270 --> 00:27:54,330] 可是從我消費者的角度上來說
[00:27:54,330 --> 00:27:56,430] 我就是沒有享受到
[00:27:56,430 --> 00:27:59,150] 購買奢侈品的時候的那種優越感
[00:27:59,150 --> 00:28:01,190] 因為他失去了那種環境包裝
[00:28:01,190 --> 00:28:03,550] 就很快讓我失去了購買慾
[00:28:03,550 --> 00:28:05,050] 所以這個就是我說的
[00:28:05,050 --> 00:28:06,630] 有包裝才有一價
[00:28:06,630 --> 00:28:08,510] 沒有包裝他就會貶值
[00:28:09,210 --> 00:28:10,770] 我再舉一個案例
[00:28:10,770 --> 00:28:13,470] 你們知道為什麼在同一個小區裏邊
[00:28:13,470 --> 00:28:15,170] 同一個戶型的房子
[00:28:15,170 --> 00:28:17,110] 但是有的它就卖的特别的快
[00:28:17,110 --> 00:28:19,070] 有的它就卖的很慢
[00:28:19,070 --> 00:28:22,210] 其实就是因为它的装修不一样
[00:28:22,210 --> 00:28:23,690] 很多海外的经纪人
[00:28:23,690 --> 00:28:25,110] 他们在卖二手房的时候
[00:28:25,110 --> 00:28:28,570] 他们专门会对这个房子进行软装
[00:28:28,570 --> 00:28:30,850] 然后让这个房子看起来更好看
[00:28:30,850 --> 00:28:31,850] 更高大上
[00:28:31,850 --> 00:28:33,830] 也更容易卖出高价
[00:28:33,830 --> 00:28:36,410] 我们闺蜜联盟里还有一个男闺蜜
[00:28:36,410 --> 00:28:37,930] 他前两天正好跟我见面
[00:28:37,930 --> 00:28:40,050] 也聊到他就是做这种项目的
[00:28:40,050 --> 00:28:43,150] 他就是把别人的房子收回来以后
[00:28:43,150 --> 00:28:45,950] 然后再重新通过一些软装
[00:28:45,950 --> 00:28:49,690] 来让这个房子呈现出一个高端公寓的感觉
[00:28:49,690 --> 00:28:52,450] 这样它就又可以办公又可以居住
[00:28:52,450 --> 00:28:54,890] 当这个房子装修的这么漂亮的时候
[00:28:54,890 --> 00:28:55,890] 客户一来一看
[00:28:55,890 --> 00:28:57,890] 就感觉非常非常的好
[00:28:57,890 --> 00:29:00,030] 所以它这几年的时间
[00:29:00,030 --> 00:29:02,110] 就靠倒腾这样一些房子
[00:29:02,110 --> 00:29:03,970] 重新装修再买卖
[00:29:03,970 --> 00:29:05,910] 赚了好几千万
[00:29:05,910 --> 00:29:09,010] 这个男闺蜜还非常非常的年轻
[00:29:09,010 --> 00:29:11,890] 所以它这个其实就是一个很大的正面案例
[00:29:11,890 --> 00:29:14,810] 通过包装来让产品产生溢价
[00:29:14,810 --> 00:29:18,290] 以上就是关于如何溢价的三个方法
[00:29:19,750 --> 00:29:21,450] 接下来我们来讲一讲
[00:29:21,450 --> 00:29:23,670] 价格要如何调整
[00:29:23,670 --> 00:29:26,310] 很多商家其实他都会纠结于这个问题
[00:29:26,310 --> 00:29:28,790] 那就是我什么时候涨价
[00:29:28,790 --> 00:29:30,870] 以及我应该如何涨价
[00:29:30,870 --> 00:29:33,190] 才能让我的消费者去接受它
[00:29:33,710 --> 00:29:34,670] 面对这样的问题
[00:29:34,670 --> 00:29:40,550] 首先我认为产品的价格是不可以轻易变动的
[00:29:40,550 --> 00:29:43,750] 最产品的价格它是和公司的战略部署
[00:29:43,750 --> 00:29:47,430] 目标人群 成本以及产品定位等等
[00:29:47,430 --> 00:29:49,690] 一系列的事情挂钩的
[00:29:49,690 --> 00:29:52,250] 它可能会天一放而动全身
[00:29:52,790 --> 00:29:54,690] 所以说只要产品定位
[00:29:54,690 --> 00:29:56,770] 目标人群和战略方向
[00:29:56,770 --> 00:29:59,110] 没有发生太大变化的情况下
[00:29:59,110 --> 00:30:02,730] 我是建议大家不要轻易的去做
[00:30:02,730 --> 00:30:04,830] 大幅度的涨价的动作的
[00:30:04,830 --> 00:30:06,770] 否则会起到反效果
[00:30:06,830 --> 00:30:07,810] 我举个例子
[00:30:07,810 --> 00:30:09,990] 你们知道为什么现在很多
[00:30:09,990 --> 00:30:12,920] 國內的彩妝的銷量會越來越差嗎
[00:30:13,370 --> 00:30:17,810] 前幾年我們聽到活得風生水起的那樣一些國產的彩妝品牌
[00:30:17,810 --> 00:30:20,590] 這兩年你們會發現一片哀號
[00:30:20,750 --> 00:30:22,610] 那我的觀察是這樣的
[00:30:22,610 --> 00:30:25,330] 因為很多國產的彩妝品牌
[00:30:25,330 --> 00:30:28,030] 在剛開始跟國際大牌競爭的時候
[00:30:28,030 --> 00:30:31,690] 其實他們就是以低價去佔領市場的
[00:30:31,690 --> 00:30:33,490] 那麼很多的客戶會覺得說
[00:30:33,490 --> 00:30:35,510] 既然你這麼便宜是吧
[00:30:35,510 --> 00:30:37,070] 那我就買過來試試
[00:30:37,070 --> 00:30:38,710] 買回來試試以後發現
[00:30:38,710 --> 00:30:44,290] 哎反正你用出来的效果也没有明显的比那些大牌的彩妆差很多
[00:30:44,290 --> 00:30:45,670] 价格又便宜这么多
[00:30:45,670 --> 00:30:47,830] 那我当然愿意去支持国货
[00:30:47,830 --> 00:30:48,710] 可是呢
[00:30:48,710 --> 00:30:50,750] 有一天大家会突然发现
[00:30:50,750 --> 00:30:55,290] 哎为什么这些国产的彩妆品牌他们悄然涨价了呢
[00:30:55,290 --> 00:31:00,950] 甚至于有一天他们的价格比国际大牌还要卖的更贵了
[00:31:00,950 --> 00:31:03,210] 什么一只眼线笔啊一只眉笔啊
[00:31:03,210 --> 00:31:05,390] 前两年我买的时候几块钱
[00:31:05,390 --> 00:31:08,450] 结果这两年突然一下子就要卖大几十块钱了
[00:31:09,070 --> 00:31:11,030] 可是我以前用的那些
[00:31:11,030 --> 00:31:13,370] 比如说日韩非常知名的一些彩妆品牌
[00:31:13,370 --> 00:31:14,930] 他们也是卖几十块钱
[00:31:14,930 --> 00:31:20,730] 那你说这个时候我还会去选择国产的彩妆品牌吗
[00:31:20,730 --> 00:31:24,610] 这个时候我想大多数人可能不太会
[00:31:24,610 --> 00:31:27,890] 因为这个它跟爱不爱国本质上没有什么关系
[00:31:27,890 --> 00:31:32,370] 而是我们以前本来就都是用那些国际品牌的
[00:31:32,370 --> 00:31:35,550] 当初之所以想要去尝试这个国产品牌
[00:31:35,550 --> 00:31:37,790] 也只是因为它便宜
[00:31:37,790 --> 00:31:40,890] 尝试完了以后觉得效果可以接受
[00:31:40,890 --> 00:31:43,550] 但是不至于说真的觉得你的效果
[00:31:43,550 --> 00:31:45,710] 比我之前用的那个更好
[00:31:45,940 --> 00:31:48,360] 因为很多的国产那些彩妆品牌
[00:31:48,360 --> 00:31:50,340] 他们就是把大量的费用
[00:31:50,340 --> 00:31:53,780] 都花在了那些宣传和营销的费用上
[00:31:53,780 --> 00:31:56,880] 他们并不是像很多已经活了很多很多年的
[00:31:56,880 --> 00:31:58,080] 那种彩妆大牌
[00:31:58,080 --> 00:32:01,900] 他们花了更多的费用在研发这个层面上
[00:32:01,900 --> 00:32:04,380] 所以呢他们本质的产品的竞争力
[00:32:04,380 --> 00:32:06,200] 并没有别人那么强
[00:32:06,200 --> 00:32:07,060] 所以你想想看
[00:32:07,060 --> 00:32:08,700] 当你有一天你的价格
[00:32:08,700 --> 00:32:11,540] 跟我用了那么多年大牌彩妆一样的价格的时候
[00:32:11,540 --> 00:32:14,800] 我还有什么道理再来选择你呢
[00:32:14,800 --> 00:32:16,200] 那么如果要涨价的话
[00:32:16,200 --> 00:32:21,100] 我是觉得大家最好是要推出一个新的产品线
[00:32:21,700 --> 00:32:25,700] 就打破大家原有对于这个品牌的一个低价的认知
[00:32:25,700 --> 00:32:28,300] 比如说大家知道海尔
[00:32:28,300 --> 00:32:31,820] 海尔兄弟其实是一个非常非常知名的国产品牌
[00:32:31,820 --> 00:32:35,300] 但是当他想要去突破这种高价陷入的时候
[00:32:35,300 --> 00:32:36,160] 他做的是什么
[00:32:36,160 --> 00:32:39,940] 它并不是把海尔这个产品直接进行一个涨价
[00:32:39,940 --> 00:32:43,300] 而是他们推出了一个高端的子品牌线
[00:32:43,300 --> 00:32:44,580] 叫做卡萨蒂
[00:32:44,580 --> 00:32:48,040] 那首先这海尔它本来就是一个做得很好的
[00:32:48,040 --> 00:32:50,600] 大家认可度很高的一个品牌了
[00:32:50,600 --> 00:32:53,800] 那当他想去竞争百败的高端市场的时候
[00:32:53,800 --> 00:32:58,520] 如果说以一个原有的这个产品体系和价格体系去竞争
[00:32:58,520 --> 00:33:01,180] 他肯定是会遇到很大的困难的
[00:33:01,820 --> 00:33:03,980] 所以当他要去打高价的时候
[00:33:03,980 --> 00:33:06,460] 就推出了卡萨蒂这个牌子
[00:33:06,460 --> 00:33:09,180] 听起来好像是一个外国人的品牌
[00:33:09,180 --> 00:33:11,860] 其实当然还是利用了一点点
[00:33:11,860 --> 00:33:14,440] 我们的这个小崇洋媚外的心理
[00:33:14,440 --> 00:33:18,480] 那他的家电现在可以说是卖的价格非常非常的高
[00:33:18,920 --> 00:33:25,560] 我们家在很多年前就买了一套卡萨蒂的这个洗衣机
[00:33:25,560 --> 00:33:28,420] 有带烘干功能的一个洗一个烘
[00:33:28,420 --> 00:33:30,920] 当时那一套就是三万多块钱
[00:33:30,920 --> 00:33:33,060] 好像是15 16年左右买的吧
[00:33:33,060 --> 00:33:34,420] 所以你就会发现
[00:33:34,510 --> 00:33:37,490] 他如果纯粹的以海尔这个品牌去售卖
[00:33:37,490 --> 00:33:41,290] 我觉得我妈应该不会拿出三万块钱
[00:33:41,290 --> 00:33:43,270] 去买他的一套喜红一体机
[00:33:43,270 --> 00:33:45,250] 但是虽然我妈妈她也知道
[00:33:45,250 --> 00:33:47,510] 卡萨蒂是海尔推出的一个高端线
[00:33:47,510 --> 00:33:50,210] 但是因为海尔这个牌子曾经就在她心目当中
[00:33:50,210 --> 00:33:52,210] 植入了非常好的一个品牌形象
[00:33:52,210 --> 00:33:54,170] 当她推了这个高端线之后
[00:33:54,170 --> 00:33:56,710] 她很相信他们的这个产品
[00:33:56,710 --> 00:33:59,170] 会对得起她这个高端线的价格
[00:33:59,170 --> 00:34:01,770] 所以我妈这么一个很抠的女人
[00:34:01,770 --> 00:34:04,070] 都为卡萨蒂这个品牌买单了
[00:34:04,070 --> 00:34:05,770] 那我呢 其实也是一样的
[00:34:05,770 --> 00:34:07,130] 大家看我们这五年以来
[00:34:07,130 --> 00:34:11,050] 我们的1V1咨询的涨价其实是很少的
[00:34:11,050 --> 00:34:12,750] 但是我们每一次的价格调整
[00:34:12,750 --> 00:34:16,090] 一定都预示着一些服务形式的变化
[00:34:16,090 --> 00:34:18,650] 比如说我们从最开始电话咨询
