[00:00:00,000 --> 00:00:03,180] 欢迎回到我们金贵的关系2.0的课堂
[00:16:03,160 --> 00:16:04,220] 在那種情況下
[00:16:04,220 --> 00:16:07,460] 我肯定是對於黑粉形成絕對性的碾壓的
[00:16:07,460 --> 00:16:09,380] 那麽在那場直播之後呢
[00:16:09,380 --> 00:16:12,280] 黑粉對於我的攻擊量迅速的就下來了
[00:16:12,280 --> 00:16:14,540] 而且呢 原本喜歡我的那些粉絲
[00:16:14,540 --> 00:16:16,260] 他們也更加喜歡我了
[00:16:16,260 --> 00:16:18,200] 還讓一些不明所以的
[00:16:18,200 --> 00:16:19,920] 可能是比較中意的一些人
[00:16:19,920 --> 00:16:22,680] 也倒到了好的粉絲的陣營裏頭
[00:16:22,680 --> 00:16:24,740] 所以呢證明這一場的證明硬鋼
[00:16:24,740 --> 00:16:27,280] 自我證明的直播其實還是非常有用的
[00:16:28,590 --> 00:16:30,310] 我再給寶子們舉個例子啊
[00:16:30,310 --> 00:16:32,050] 大家記不記得就是前段時間
[00:16:32,050 --> 00:16:37,130] 程乾和周洪一的風馬牛年終秀上面這個對話啊
[00:16:37,130 --> 00:16:38,610] 大家可以在上網去搜一搜
[00:16:38,610 --> 00:16:39,470] 而且我當時呢
[00:16:39,470 --> 00:16:43,170] 對這件事是進行過一次這個點評的
[00:16:43,170 --> 00:16:45,030] 兩個人當時就懟起來了嘛
[00:16:45,030 --> 00:16:48,330] 那網上的當時鋪天蓋地的就是說程乾不專業啊
[00:16:48,330 --> 00:16:51,410] 沒品啊 不尊重人啊等等這樣一些惡評
[00:16:51,410 --> 00:16:53,270] 結果後來呢這個事發生之後
[00:16:53,270 --> 00:16:56,210] 成潛呢就又去向周洪一示弱
[00:16:56,210 --> 00:16:58,930] 轉頭就去參加了周洪一的一個線下活動
[00:16:58,930 --> 00:17:00,610] 然後說什麼打不過就加入
[00:17:00,610 --> 00:17:03,990] 那其實這個動作啊做的就是叫兩頭不討好
[00:17:03,990 --> 00:17:05,970] 就本來喜歡他的人呢
[00:17:05,970 --> 00:17:07,490] 一下子就覺得他好慫
[00:17:07,490 --> 00:17:10,290] 然後不喜歡他的人呢就會因為他當時那個動作
[00:17:10,290 --> 00:17:13,210] 而更加的討厭他 更加去嘲笑他
[00:17:13,770 --> 00:17:16,490] 那這個時候如果我是成潛的話
[00:17:16,490 --> 00:17:17,510] 我會怎麼做呢
[00:17:17,510 --> 00:17:20,610] 那我覺得這個時候就不如正面硬鋼
[00:17:20,830 --> 00:17:24,970] 他其實完全可以展現出這種年輕一代的
[00:17:24,970 --> 00:17:27,050] 血氣方剛的這種氣勢啊
[00:17:27,050 --> 00:17:30,130] 就說自己非常認真的準備了當時那個演講稿
[00:17:30,130 --> 00:17:32,530] 這個其實是一種認真負責的體現
[00:17:32,530 --> 00:17:35,010] 而周鴻一其實仗著自己的備份
[00:17:35,010 --> 00:17:37,250] 他沒有做準備 張口就來
[00:17:37,250 --> 00:17:40,550] 反而這個應該是不尊重大家的時間的表示
[00:17:40,550 --> 00:17:45,350] 他其實在這個事後完完全全是有大量的時間和空間
[00:17:45,350 --> 00:17:48,730] 去準備這樣的一些講話的
[00:17:48,730 --> 00:17:50,070] 然後這樣一操作呢
[00:17:50,070 --> 00:17:51,370] 原本喜歡你的人
[00:17:51,370 --> 00:17:52,370] 他就會覺得誒
[00:17:52,370 --> 00:17:53,870] 說的還挺有道理是吧
[00:17:53,870 --> 00:17:55,190] 反而會更加的喜歡你
[00:17:55,890 --> 00:17:57,010] 還有如果說啊
[00:17:57,010 --> 00:17:59,090] 把這個事幹的再狠一點的
[00:17:59,090 --> 00:18:00,650] 作為一個真正的自媒體人
[00:18:00,650 --> 00:18:02,370] 如果想要一切為我所用
[00:18:02,370 --> 00:18:04,130] 一切為我富能的話
[00:18:04,130 --> 00:18:06,810] 那麼其實你是可以直接的挖到
[00:18:06,810 --> 00:18:09,230] 周老闆的很多很多黑料的
[00:18:09,230 --> 00:18:11,650] 因為你們知道這個紅衣大叔吧
[00:18:11,650 --> 00:18:13,150] 他其實年輕的時候
[00:18:13,150 --> 00:18:15,310] 幹過的很多醜事啊
[00:18:15,350 --> 00:18:20,630] 包括呢就是 其实网络上对于他的负评从来都是没有断过的
[00:18:20,630 --> 00:18:23,190] 他企业出的问题 包括他自己出过的一些问题
[00:18:23,190 --> 00:18:25,270] 其实是很多很多的
[00:18:25,270 --> 00:18:30,710] 这个时候呢 你如果把他那些黑点都拿出来 细数一下
[00:18:30,710 --> 00:18:33,270] 那么你会发现这样做呢 其实有两个好处
[00:18:33,270 --> 00:18:36,350] 第一个是 这些都是事实啊
[00:18:36,350 --> 00:18:40,210] 当这些周鸿一身上的黑料被展现出来的时候
[00:18:40,210 --> 00:18:43,710] 你就可以讓觀眾把他們的注意點
[00:18:43,710 --> 00:18:47,470] 重新拉回到周總以前身上的問題上
[00:18:47,470 --> 00:18:50,690] 那麼就可以把自己從這個事件當中摘出來了
[00:18:50,690 --> 00:18:52,010] 第二個呢就是
[00:18:52,010 --> 00:18:53,550] 當你做了之後你會發現
[00:18:53,550 --> 00:18:56,130] 有那麼多不喜歡周老闆的人
[00:18:56,130 --> 00:18:59,090] 可以說其實以程乾當下的影響力
[00:18:59,090 --> 00:19:01,370] 可能他的整個粉絲群體加起來
[00:19:01,370 --> 00:19:04,230] 還沒有周老闆原來的黑粉群體那麼大
[00:19:04,730 --> 00:19:05,810] 所以說呢
[00:19:05,810 --> 00:19:08,170] 當你把很多不喜歡周老闆的人
[00:19:08,170 --> 00:19:09,590] 全部集結到一起之後
[00:19:09,590 --> 00:19:11,070] 拉到自己的阵营里
[00:19:11,070 --> 00:19:14,190] 那这个其实也是一个非常大的一个流量效应
[00:19:14,190 --> 00:19:16,350] 很有可能会产生比你自己的粉丝
[00:19:16,350 --> 00:19:18,470] 原本更大的一种流量价值
[00:19:18,470 --> 00:19:21,570] 在声量上可能你就不会显得那么的弱势了
[00:19:22,110 --> 00:19:25,670] 所以当时这个成前没有那么敢去证明自己
[00:19:25,670 --> 00:19:28,330] 让这个事情也成为了他
[00:19:28,330 --> 00:19:31,610] 我觉得事业过程当中很大的一个滑铁卢事件
[00:19:33,920 --> 00:19:34,360] 好
[00:19:34,360 --> 00:19:37,320] 那当然很多宝宝能听到这个地方会有一个疑惑
[00:19:37,320 --> 00:19:40,760] 他们会觉得说难道不应该是拒绝自征吗
[00:19:40,760 --> 00:19:42,900] 不要陷入自證陷阱裏面嘛
[00:19:42,900 --> 00:19:45,700] 怎麽在這個地方我反而要證明自己呢
[00:19:45,700 --> 00:19:46,900] 那針對這個問題呢
[00:19:46,900 --> 00:19:48,980] 我也要做一個小小的延伸
[00:19:48,980 --> 00:19:53,300] 我覺得首先我們要想一想自證陷阱是什麽
[00:19:53,300 --> 00:19:56,720] 它其實應該是你無法證明的事情
[00:19:56,720 --> 00:19:59,840] 就別人給你扣了一個屎盆子之後呢
[00:19:59,840 --> 00:20:03,160] 你沒有證據來證明自己的清白
[00:20:03,160 --> 00:20:06,160] 它雖然也是空口無憑的誣陷你
[00:20:06,160 --> 00:20:09,860] 但是呢你也沒有辦法證明自己確確實實是清白的
[00:20:09,860 --> 00:20:13,340] 那这样的情况我们才会叫陷入自证陷阱
[00:20:13,340 --> 00:20:17,340] 因为你怎么都没有办法证明自己是对的
[00:20:17,340 --> 00:20:20,480] 所以呢关于自证大家要记住以下两点
[00:20:20,480 --> 00:20:24,680] 第一个叫做不要证明无法被验证的事
[00:20:25,160 --> 00:20:26,960] 就比如说别人说你很花心
[00:20:26,960 --> 00:20:30,440] 那这个时候呢你去陈述我有多么多么的专一
[00:20:30,440 --> 00:20:31,680] 没有意义
[00:20:31,680 --> 00:20:33,300] 因为你没有办法
[00:20:33,300 --> 00:20:34,400] 举证
[00:20:34,400 --> 00:20:37,360] 那么你说了再多对方都看不见
[00:20:37,360 --> 00:20:40,740] 他想不相信他依然可以選擇不相信
[00:20:40,740 --> 00:20:43,560] 那這種事情呢其實就沒有證明的必要
[00:20:43,560 --> 00:20:45,720] 反之啊如果你有證據
[00:20:45,720 --> 00:20:47,960] 就好像我當初直播對黑粉那樣
[00:20:47,960 --> 00:20:50,840] 能有理有據的去證實自己的清白
[00:20:50,840 --> 00:20:52,980] 那該證明的還得證明
[00:20:52,980 --> 00:20:57,600] 第二呢就是有一些汙名其實他是不需要辯解的
[00:20:57,600 --> 00:20:59,700] 有很多的寶寶他會有一個迷思
[00:20:59,700 --> 00:21:01,840] 覺得自己啥都要辯解
[00:21:01,840 --> 00:21:03,900] 啥都要證明啊
[00:21:03,900 --> 00:21:09,740] 比如說 明明他自己就是一個很正常的在追求想要去掙更多的錢
[00:21:09,740 --> 00:21:12,600] 想要去產生更多的價值的這麼一個人
[00:21:12,600 --> 00:21:19,720] 但是呢 他又覺得這件事情是不是會違背了所謂的做道德高尚的這樣一個人的這麼一個事
[00:21:19,720 --> 00:21:22,920] 就好比有的男人他就會說你是不是就愛我的錢
[00:21:22,920 --> 00:21:24,700] 你就是一個現實的女人
[00:21:24,700 --> 00:21:27,760] 那有些姑娘一聽到這個話他就慌了
[00:21:27,760 --> 00:21:32,840] 滿腦子都在想著怎麼解釋我不愛錢 我愛的是你的人 是吧
[00:21:32,840 --> 00:21:35,960] 那說不定呢這個時候你就會陷入到了一個男人
[00:21:35,960 --> 00:21:39,200] 他想要低成本持有你的一種手段裡頭
[00:21:39,200 --> 00:21:42,220] 你一旦去解釋啊我不現實我不愛錢
[00:21:42,220 --> 00:21:45,780] 那不就是正好的給了他很好的一個理由
[00:21:45,780 --> 00:21:47,840] 讓他不給你付出了嗎對吧
[00:21:47,840 --> 00:21:51,100] 所以呢這個時候我們就應該大大方方的承認
[00:21:51,100 --> 00:21:53,260] 我愛錢有什麼問題呢
[00:21:53,260 --> 00:21:54,840] 誰又不愛呢對吧
[00:21:54,840 --> 00:21:58,060] 但是我愛的是那個為我花錢的你
[00:21:58,760 --> 00:21:59,200] 對不對
[00:21:59,200 --> 00:22:01,400] 所以呢當你直面自己內心的欲望
[00:22:01,400 --> 00:22:04,280] 我发现你真的是一个爱钱的女人的时候
[00:22:04,280 --> 00:22:06,220] 那么你就大大方方的承认就好了
[00:22:06,220 --> 00:22:08,220] 我能够直面自己的欲望
[00:22:08,220 --> 00:22:10,880] 那么就没有人可以CP我
[00:22:11,750 --> 00:22:12,650] 开个玩笑
[00:22:12,650 --> 00:22:13,350] 人家不是说吗
[00:22:13,350 --> 00:22:14,450] 只要我没有道德
[00:22:14,450 --> 00:22:16,930] 就没有人可以道德绑架我
[00:22:18,650 --> 00:22:19,610] 那其实这个呢
[00:22:19,610 --> 00:22:21,070] 就是我们要讲的第二点
[00:22:21,070 --> 00:22:22,250] 证明自己
[00:22:22,250 --> 00:22:23,010] 接下来呢
[00:22:23,010 --> 00:22:24,390] 我们就来看第三个阶段
[00:22:24,390 --> 00:22:25,890] 就是成熟期
[00:22:25,890 --> 00:22:26,710] 这个时期呢
[00:22:26,710 --> 00:22:28,950] 你可能是一个比较知名的IP
[00:22:28,950 --> 00:22:31,750] 也可能是一个比较出名的机构了
[00:22:31,750 --> 00:22:33,950] 也可能是比較出名的品牌了
[00:22:33,950 --> 00:22:37,870] 總之呢 你應該是有了一定的江湖地位和影響力了
[00:22:37,870 --> 00:22:39,970] 那這個時候啊 我們面對大眾的質疑呢
[00:22:39,970 --> 00:22:41,990] 千萬不要走入一個誤區叫做
[00:22:41,990 --> 00:22:43,650] 完全不回應
[00:22:43,650 --> 00:22:46,210] 因為我呢 就曾經走過過
[00:22:46,210 --> 00:22:47,390] 這樣的誤區
[00:22:47,390 --> 00:22:49,970] 我就是在去年年末啊 今年年初的時候
[00:22:49,970 --> 00:22:53,350] 其實呢 是被全網大規模的這種整頓了吧
[00:22:54,010 --> 00:22:56,150] 其實當時我錯是錯在哪兒了呢
[00:22:56,150 --> 00:22:58,810] 就是錯在完全不回應上了
[00:22:58,810 --> 00:23:01,630] 當時啊 網上一下子湧出了非常非常多
[00:23:01,630 --> 00:23:04,170] 黑我的人 而且呢黑我那些理由
[00:23:04,170 --> 00:23:05,530] 特別特別的散
[00:23:05,530 --> 00:23:08,050] 可能這個人用了十個理由抨擊我
[00:23:08,050 --> 00:23:10,890] 那個人用了另外十個理由來抹黑我
[00:23:10,890 --> 00:23:13,790] 而且很多的人他就是會斷章取義的
[00:23:13,790 --> 00:23:16,830] 用我的一些切片偽造很多的證據
[00:23:16,830 --> 00:23:19,710] 來拼接來抹黑我 那一瞬間呢
[00:23:19,710 --> 00:23:22,070] 我突然就覺得天吶 鋪天蓋地的
[00:23:22,070 --> 00:23:23,110] 都是負面的東西
[00:23:23,110 --> 00:23:26,190] 讓我感覺一下子手足無措
[00:23:26,190 --> 00:23:27,270] 手無寸鐵
[00:23:27,270 --> 00:23:29,610] 也不知道從哪個地方開始回應起
[00:23:30,160 --> 00:23:33,860] 然後因為他們用到的素材實在是太多了
[00:23:33,860 --> 00:23:36,900] 這些人他們都是經過了大量的準備
[00:23:36,900 --> 00:23:39,220] 然後才把這些素材堆砌出來的
[00:23:39,220 --> 00:23:42,040] 可是如果我想再去一一的找到原文
[00:23:42,040 --> 00:23:47,000] 我沒有辦法在我幾百場直播當中去把那個原文給找出來
[00:23:47,640 --> 00:23:51,180] 所以呢因為我當時一想到這個工作量啊
[00:23:51,180 --> 00:23:52,320] 實在是太大了
[00:23:52,320 --> 00:23:54,800] 我乾脆就是選擇了直接逃避和擺爛
[00:23:54,800 --> 00:23:56,800] 我呢就完全的沒有回應這些事
[00:23:56,800 --> 00:23:58,900] 只想著做好自己的事情
[00:23:58,900 --> 00:24:01,900] 結果最後就任由這個事態去發酵了
[00:24:02,680 --> 00:24:05,020] 其實面對這樣的大規模的質疑
[00:24:05,020 --> 00:24:07,940] 我們後來也復盤出了一套公式
[00:24:07,940 --> 00:24:12,120] 就是即時澄清加草船借鑒
[00:24:12,120 --> 00:24:14,340] 首先我們來看即時澄清
[00:24:14,340 --> 00:24:16,300] 在危機公關這個領域
[00:24:16,300 --> 00:24:19,060] 當大規模的惡性事件發生了之後
[00:24:19,060 --> 00:24:23,160] 我認為它是會有一個最佳搶救時效的
[00:24:23,160 --> 00:24:26,500] 因為當它要上升到官方去定性
[00:24:26,500 --> 00:24:30,780] 它中間一定會有一個比較長的處理鏈條
[00:24:30,780 --> 00:24:32,820] 這是無論你這件事被投訴
[00:24:32,820 --> 00:24:36,260] 被遞交到任何一個官方 任何一個機構
[00:24:36,260 --> 00:24:38,700] 那麼他都需要去回溯這個事件
[00:24:38,700 --> 00:24:41,780] 然後收集素材進行審核
[00:24:41,780 --> 00:24:44,420] 一個鏈條走完才能夠最終去定性
[00:24:44,420 --> 00:24:46,720] 那這一個系列在操作的時候呢
[00:24:46,720 --> 00:24:50,620] 其實它是給了我們一個回應的時間的
[00:24:50,620 --> 00:24:54,440] 去做出對自己最有利的一些危機公關的舉措
[00:24:54,440 --> 00:24:57,920] 我们这个时候呢 一定要抓住这个黄金时间
[00:24:57,920 --> 00:24:59,180] 做出相应的回应
[00:24:59,180 --> 00:25:02,080] 接下来呢 我们来看一看草船借鉴啊
[00:25:02,080 --> 00:25:03,760] 就当别人攻击我们的时候
[00:25:03,760 --> 00:25:05,760] 我们其实可以停下来想一想
[00:25:05,760 --> 00:25:09,200] 这件事情能不能不要一味的去承担
[00:25:09,200 --> 00:25:11,420] 而是尝试草船借鉴
[00:25:11,420 --> 00:25:13,860] 把我的势能做得更大
[00:25:13,860 --> 00:25:17,780] 就好比啊 当时这个张兰跟大S互相掐架
[00:25:17,780 --> 00:25:19,300] 是掐了三年啊
[00:25:19,300 --> 00:25:20,380] 应该不叫互相掐架
[00:25:20,380 --> 00:25:23,740] 应该是这个拦解单方面的攻击啊
[00:25:23,740 --> 00:25:29,380] 那这三年的时间里头呢 我觉得兰姐呢 她其实就是把草船借鉴这件事玩得明明白白
[00:25:29,380 --> 00:25:32,160] 直播带货当时赚的是盆满钵满
[00:25:32,160 --> 00:25:37,520] 可是很可惜啊 就是大s呢 它其实从头到尾是没有要接过这波流量的
[00:25:37,520 --> 00:25:43,120] 最后呢 其实我们看到在这个战争当中 其实只有一方是疯狂获利的
[00:25:43,120 --> 00:25:46,980] 那我呢 其实也是尝试过草船借鉴这种方式的
[00:25:46,980 --> 00:25:53,060] 就是当时啊 有一个也相当于是知识付费的一个比较称王称霸的一个博主
[00:25:53,060 --> 00:25:56,160] 他呢在自媒體領域呢可以說是有點
[00:25:56,160 --> 00:25:57,680] 就是名聲在外吧
[00:25:57,680 --> 00:26:00,380] 所有的人都有點找他拜碼頭的這個意思啊
[00:26:01,240 --> 00:26:07,260] 然後我呢就是從頭到尾都沒有跟這個人有過任何的建交聯繫
[00:26:07,260 --> 00:26:09,600] 那會呢他就給我發私信
[00:26:09,600 --> 00:26:12,140] 他呢其實是想要來拉攏我的
[00:26:12,140 --> 00:26:15,900] 但是呢我完全沒有回應他的這個動作
[00:26:15,900 --> 00:26:17,980] 為什麼我完全沒有回應啊
[00:26:17,980 --> 00:26:20,940] 其實是因為我覺得他的受眾跟我的受眾
[00:26:20,940 --> 00:26:24,140] 其实是有一点点不太契合的
[00:26:24,140 --> 00:26:26,040] 然后呢我又知道这个人他
[00:26:26,040 --> 00:26:28,820] 多多少少在这个行业里头有点江湖地位嘛
[00:26:28,820 --> 00:26:32,020] 那我不太希望有任何的回应
[00:26:32,020 --> 00:26:33,680] 给到他可能都会
[00:26:33,680 --> 00:26:36,600] 引发一些我觉得没有必要的一些后续
[00:26:36,600 --> 00:26:39,100] 所以说呢我就选择不回应啊
[00:26:39,100 --> 00:26:39,840] 结果呢
[00:26:39,840 --> 00:26:41,040] 因为我不回应他
[00:26:41,040 --> 00:26:43,120] 然后他当时就恼羞成怒啊
[00:26:43,120 --> 00:26:45,460] 就一直在他的直播间里头各种
[00:26:45,460 --> 00:26:47,780] 就是说我不好各种骂我
[00:26:47,780 --> 00:26:49,540] 然后他这么说了以后呢
[00:26:49,540 --> 00:26:55,000] 其实我当时就想一想 这个也许是一次让我一战风神的机会
[00:26:55,000 --> 00:27:00,440] 因为我知道他的客群里是有一些比较高端的客群的
[00:27:00,440 --> 00:27:07,480] 那次我如果要回应 我就一定要让所有的人都看到我跟他之间的这种
[00:27:07,480 --> 00:27:15,100] 差距 认知差距啊 而且呢 我要想办法把他的这种优质的女性粉丝吸引过来
[00:27:15,100 --> 00:27:16,780] 所以我醞釀了很久
[00:27:16,780 --> 00:27:20,280] 就是到底要怎么去回应他才比较合适
[00:27:20,280 --> 00:27:24,100] 然后我就从他的评论区里面不停的去找
[00:27:24,100 --> 00:27:26,860] 大家对于他的这种负面评价
[00:27:26,860 --> 00:27:29,640] 最后把大家对他的负面评价
[00:27:29,640 --> 00:27:31,860] 负面标签全部总结起来
[00:27:31,860 --> 00:27:34,600] 变成了我的公关视频的素材
[00:27:34,600 --> 00:27:37,460] 然后当时我在发那条回应视频的时候
[00:27:37,460 --> 00:27:39,100] 我的第一句话就是
[00:27:39,100 --> 00:27:40,860] 互联网不是黑社会
[00:27:40,860 --> 00:27:42,320] 我不拜你的码头
[00:27:42,320 --> 00:27:43,800] 那为什么会有这句话
[00:27:43,800 --> 00:27:49,080] 其实就是因为有很多很多很多的粉丝经常会在他的留言板上留言觉得说
[00:27:49,080 --> 00:27:52,240] 他老是在这个互联网领域里头拉帮结派啊
[00:27:52,240 --> 00:27:54,620] 就好像显得人家如果不去找他的话
[00:27:54,620 --> 00:27:55,840] 是不是就会有什么问题
[00:27:55,840 --> 00:27:59,260] 然后他就会对别人进行一点点这个互联网霸凌的这个意思
[00:27:59,260 --> 00:28:03,660] 所以这个呢其实我是借用了网友的这种评价
[00:28:04,860 --> 00:28:07,960] 直接就戳中了大部分人对他的负面印象
[00:28:07,960 --> 00:28:11,460] 最后呢那一仗其实我是赢得非常非常漂亮的
[00:28:11,460 --> 00:28:17,260] 因为我通过那个视频一下子就增加了很多的高质量粉丝
[00:28:17,260 --> 00:28:20,140] 然后我后来在跟闺蜜联盟的姐妹聊天的时候呢
[00:28:20,140 --> 00:28:24,240] 我就发现好多人都是因为当时我的那个回应视频
[00:28:24,240 --> 00:28:28,360] 然后立刻就来付费加入到了我的闺蜜联盟
[00:28:28,360 --> 00:28:30,540] 所以呢草船借鉴啊
[00:28:30,540 --> 00:28:34,440] 在危机中寻找转机是一个非常厉害的公关手段
[00:28:34,440 --> 00:28:40,140] 那如果呢现在再让我回到那个时候大规模的被网爆啊
[00:28:40,140 --> 00:28:44,420] 所以抵制啊 那個時間段啊 我肯定是不會選擇擺爛的
[00:28:44,420 --> 00:28:47,920] 我會把所有的別人對於我斷章取義的內容
[00:28:47,920 --> 00:28:49,380] 全部收集起來
[00:28:49,380 --> 00:28:51,460] 一五一十的做出回應
[00:28:51,460 --> 00:28:55,620] 比如說有的人說 啊 曲曲就認為談戀愛 結婚 乃至生孩子
[00:28:55,620 --> 00:28:57,920] 都只是實現階級跨越的工具
[00:28:57,920 --> 00:29:01,340] 從男人身上搞錢才是超越情感的終極目的
[00:29:01,340 --> 00:29:03,240] 說曲曲是在物化親密關係
[00:29:03,240 --> 00:29:05,860] 那如果是現在呢 我就會這麼回應
[00:29:05,860 --> 00:29:08,360] 因為這是一段以偏概全的言論
[00:29:08,360 --> 00:29:10,340] 在我们进行情感咨询的时候
[00:29:10,340 --> 00:29:12,720] 一直都是具体问题具体分析
[00:29:12,720 --> 00:29:15,520] 从客户的需求给出合适的建议
[00:29:15,520 --> 00:29:19,220] 从未宣称过所有的婚恋行为和生育行为
[00:29:19,220 --> 00:29:21,760] 都只是为了搞钱和跨越阶级的
[00:29:23,960 --> 00:29:25,220] 例如这张图啊
[00:29:25,220 --> 00:29:26,320] 我就曾经说过
[00:29:26,320 --> 00:29:28,800] 如果没有跨越阶层的需求
[00:29:28,800 --> 00:29:31,900] 寻求宁静平凡和安全感
[00:29:31,900 --> 00:29:33,180] 也是不错的选择
[00:29:33,730 --> 00:29:36,350] 再比如这张图里我也曾经提到
[00:29:36,350 --> 00:29:38,430] 在感情中没有对错
[00:29:38,430 --> 00:29:39,870] 只有是否合适
[00:29:39,870 --> 00:29:43,250] 追求精神層面的滿足也是個人選擇
[00:29:44,640 --> 00:29:46,680] 又好比我在這張圖裏也提到
[00:29:46,680 --> 00:29:50,380] 我其實是把每位男性都視為生命中的導師
[00:29:50,380 --> 00:29:54,560] 認為每段關係都能幫助我們了解自我
[00:29:55,720 --> 00:29:57,180] 再比如呢 還有人說
[00:29:57,180 --> 00:29:59,580] 許許和她的團隊煽動男女對立
[00:29:59,580 --> 00:30:01,360] 製造女性婚戀焦慮
[00:30:01,360 --> 00:30:04,180] 並且通過售賣情感課程的方式
[00:30:04,180 --> 00:30:06,980] 傳授如何跟有米的男人打交道
[00:30:06,980 --> 00:30:08,660] 對於這樣的質疑我會說
[00:30:08,660 --> 00:30:11,340] 我們直播時只有連麥答疑
[00:30:11,340 --> 00:30:14,040] 並不會進行賣客等銷售動作
[00:30:14,040 --> 00:30:16,280] 也就是說並不存在所謂的
[00:30:16,280 --> 00:30:17,760] 直播間煽動焦慮
[00:30:17,760 --> 00:30:20,640] 趁機誘導下單和逼單的行為
[00:30:20,640 --> 00:30:22,600] 另外我們的確有出課程
[00:30:22,600 --> 00:30:25,380] 卻並不是針對有錢男性的課程
[00:30:25,380 --> 00:30:28,560] 而是普世性的人際關係的情感課
[00:30:28,560 --> 00:30:31,400] 並沒有販賣焦慮和煽動男女對立
[00:30:31,400 --> 00:30:32,820] 如果再給我一次機會
[00:30:32,820 --> 00:30:35,160] 我絕對不會像當初那樣坐以待斃
[00:30:35,160 --> 00:30:36,560] 而是像現在這個樣子
[00:30:36,560 --> 00:30:39,560] 有理有據圖文並茂的列舉出證據
[00:30:39,560 --> 00:30:40,660] 然後一一的去回應
[00:30:41,740 --> 00:30:45,640] 好 那以上呢 就是我們根據發展的三個階段
[00:30:45,640 --> 00:30:47,460] 從而給出的公關建議
[00:30:47,460 --> 00:30:50,920] 那在這裏呢 我們額外的在談一個常見的
[00:30:50,920 --> 00:30:52,840] 和比較通用的公關技巧
[00:30:52,840 --> 00:30:54,680] 那就是示弱啊
[00:30:54,680 --> 00:30:56,260] 很多人在面對質疑的時候呢
[00:30:56,260 --> 00:30:59,600] 其實都會用示弱的方式來進行公關
[00:30:59,600 --> 00:31:03,460] 比如說在李佳琪當初美筆的事件當中呢
[00:31:03,460 --> 00:31:05,160] 當時脫粉了100多萬
[00:31:05,160 --> 00:31:08,960] 在這之後他們是選擇了跟粉絲群體道歉啊
[00:31:09,460 --> 00:31:11,640] 这个呢其实就是一种示弱
[00:31:11,640 --> 00:31:15,380] 这个也是相对来说最为安全的一种公关方式
[00:31:15,380 --> 00:31:16,960] 但是我要跟大家说啊
[00:31:16,960 --> 00:31:18,360] 网红可以示弱
[00:31:18,360 --> 00:31:20,640] 但IP只能硬刚
[00:31:20,640 --> 00:31:21,760] 为什么呢
[00:31:21,760 --> 00:31:22,760] 因为网红啊
[00:31:22,760 --> 00:31:24,900] 很多时候是以他的专业技能
[00:31:24,900 --> 00:31:27,740] 或者以他的才艺来吸引粉丝的
[00:31:27,740 --> 00:31:30,400] 粉丝关注的重点是他
[00:31:30,400 --> 00:31:32,040] 可能能给我带来低价啊
[00:31:32,040 --> 00:31:33,200] 或者他很会唱歌啊
[00:31:33,200 --> 00:31:34,420] 很会跳舞啊
[00:31:34,420 --> 00:31:35,880] 所以当你面对质疑的时候
[00:31:35,880 --> 00:31:37,040] 你选择示弱
[00:31:37,040 --> 00:31:38,160] 选择妥协
[00:31:38,160 --> 00:31:43,020] 這個動作它並不會影響你本身的才藝的質量
[00:31:43,020 --> 00:31:44,580] 你本身唱的怎麼樣跳的怎麼樣
[00:31:44,580 --> 00:31:46,520] 它是完全不影響這些事的
[00:31:46,520 --> 00:31:48,620] 那大家呢還是該看你唱歌看你唱歌
[00:31:48,620 --> 00:31:50,060] 該看你跳舞看你跳舞
[00:31:50,060 --> 00:31:51,880] 該去買你那個便宜的貨品
[00:31:51,880 --> 00:31:54,160] 就買你那個有低價的貨品對吧
[00:31:54,160 --> 00:31:57,800] 那像最近呢備受爭議的這個五六方擦邊的這個事情
[00:31:57,800 --> 00:32:00,440] 它其實就是可以通過示弱的
[00:32:00,440 --> 00:32:03,000] 因為它可以講自己為什麼會走上這條路呀
[00:32:03,000 --> 00:32:04,540] 它有過多少糾結呀
[00:32:04,540 --> 00:32:06,320] 或者說不做國家運動員之後
[00:32:06,320 --> 00:32:08,420] 他的生活或者有多么的难等等
[00:32:08,420 --> 00:32:11,100] 他也可以说我不想做这件事情
[00:32:11,100 --> 00:32:13,500] 但是我做了很多很多的努力之后
[00:32:13,500 --> 00:32:14,760] 发现只有这件事情
[00:32:14,760 --> 00:32:17,560] 能够让我拿到现金上的正反馈
[00:32:17,560 --> 00:32:20,220] 我才能给我最爱的家里的人
[00:32:20,220 --> 00:32:22,600] 提供一个体面的生活等等
[00:32:22,600 --> 00:32:24,300] 那这些其实都是ok的
[00:32:24,300 --> 00:32:26,500] 因为五柳方他其实只是一个网红
[00:32:26,500 --> 00:32:28,240] 大家就是愿意为了他
[00:32:28,240 --> 00:32:30,800] 他这个什么唱歌跳舞来为他的才艺付费
[00:32:30,800 --> 00:32:31,460] 对吧
[00:32:31,460 --> 00:32:34,400] 那我在写我们的课程大纲的时候啊
[00:32:34,400 --> 00:32:37,280] 其實吳柳芳還沒有對這件事進行回應
[00:32:37,280 --> 00:32:40,060] 當時她的號是處在一個被封號的狀態
[00:32:40,060 --> 00:32:42,700] 但是當我今天在錄客的時候
[00:32:42,700 --> 00:32:45,200] 其實後來發現吳柳芳她也用了
