[00:00:00,110 --> 00:00:03,870] 大家好,歡迎回到我們金貴的關係2.0的課程
[00:00:03,870 --> 00:00:07,530] 我們今天繼續來學習守好錢板塊的課程
[00:15:29,350 --> 00:15:30,330] 那在那之後
[00:15:30,330 --> 00:15:32,850] 我就不太消費其他品牌的包
[00:15:32,850 --> 00:15:34,130] 因為我意識到
[00:15:34,130 --> 00:15:37,130] 這個包真的可以讓我背很多很多年
[00:15:37,130 --> 00:15:38,990] 因為它幾十年前
[00:15:38,990 --> 00:15:39,750] 它就長這個樣
[00:15:39,750 --> 00:15:41,590] 它到今天它還長這個樣
[00:15:41,590 --> 00:15:44,690] 所以它甚至於每年你們知道有很多很多阿馬仕的包
[00:15:44,690 --> 00:15:46,150] 它是可以上拍賣會的嘛
[00:15:46,150 --> 00:15:49,710] 說白了它就跟我那些非常經典款的那些大衣啊
[00:15:49,710 --> 00:15:50,710] 皮草啊一樣
[00:15:50,710 --> 00:15:52,630] 哪一年給它拎出去
[00:15:52,630 --> 00:15:55,450] 它都是很給你提氣的
[00:15:55,450 --> 00:15:58,590] 它就是可以穿越周期長期使用的東西
[00:15:58,590 --> 00:15:59,750] 順便提一嘴啊
[00:15:59,750 --> 00:16:01,130] 就是我的第一個阿馬仕的包
[00:16:01,130 --> 00:16:03,430] 我到今天為止都還在用
[00:16:03,430 --> 00:16:05,690] 每次有場合需要的時候
[00:16:05,690 --> 00:16:06,910] 或者是出差的時候
[00:16:06,910 --> 00:16:08,530] 我都會選擇那個包
[00:16:08,530 --> 00:16:11,070] 其實呢現在凍臉這個領域也是一樣的
[00:16:11,070 --> 00:16:13,730] 我並不是完全的反對大家去動臉
[00:16:13,730 --> 00:16:18,970] 我只是認為大家不應該盲目的跟著潮流的變化去動臉
[00:16:18,970 --> 00:16:22,510] 而是應該找一個能夠穿越周期的臉
[00:16:22,510 --> 00:16:24,250] 那具體來說怎麼做呢
[00:16:24,250 --> 00:16:29,290] 就是我覺得大家一定要廣泛的去搜集素材
[00:16:29,290 --> 00:16:31,470] 去找到那些公認的
[00:16:31,470 --> 00:16:33,750] 然後很多年前就覺得好看
[00:16:33,750 --> 00:16:36,550] 現在也依然覺得好看的美貌
[00:16:36,550 --> 00:16:39,050] 我小的時候其實也想過要去動臉
[00:16:39,050 --> 00:16:43,370] 因为我小的时候我觉得我这个骨头还有这个地方都是比较宽的
[00:16:43,370 --> 00:16:46,930] 而且那个时候正好就是流行花子脸的那个时期啊
[00:16:46,930 --> 00:16:47,790] 然后呢
[00:16:47,790 --> 00:16:50,670] 我当时是为什么没有做这个动作
[00:16:50,670 --> 00:16:54,130] 其实要感谢我那个时候家里是真的穷
[00:16:54,130 --> 00:16:55,990] 因为我想做的这个手术
[00:16:55,990 --> 00:16:57,910] 它是非常非常大的手术
[00:16:57,910 --> 00:17:01,030] 所以这个手术它要花费很巨额的代价
[00:17:01,030 --> 00:17:03,150] 然后由于实在是没有钱
[00:17:03,150 --> 00:17:05,610] 所以导致我每天都想做这件事
[00:17:05,610 --> 00:17:08,570] 可是那我又没有足够的钱去做
[00:17:08,570 --> 00:17:11,870] 那我只能不断地去看各种各样的杂志
[00:17:11,870 --> 00:17:14,390] 不断地去说服自己说
[00:17:14,390 --> 00:17:16,250] 其实这样也不难看
[00:17:16,250 --> 00:17:17,830] 其实这样也是可以的
[00:17:17,830 --> 00:17:19,670] 那么我那个时候就开始
[00:17:19,670 --> 00:17:21,350] 不断地去接触到一些
[00:17:21,350 --> 00:17:23,170] 纸上方面的一些东西
[00:17:23,170 --> 00:17:24,430] 然后国内的呀
[00:17:24,430 --> 00:17:25,290] 日韩的呀
[00:17:25,290 --> 00:17:26,350] 欧美的呀
[00:17:26,350 --> 00:17:28,170] 什么样的脸我都会去看
[00:17:28,170 --> 00:17:29,610] 慢慢的我会发现
[00:17:29,610 --> 00:17:32,530] 其实从世界的围绕上来说
[00:17:32,530 --> 00:17:35,110] 大家喜欢的美是非常非常多元的
[00:17:35,110 --> 00:17:36,770] 并不是只有当下
[00:17:36,770 --> 00:17:38,350] 我们处在的这片土地上
[00:17:38,350 --> 00:17:41,750] 所定格的那種好看才是好看
[00:17:41,750 --> 00:17:45,210] 我還會發現其實有很多很多的美貌的標準
[00:17:45,210 --> 00:17:47,110] 它又是一種橫定的
[00:17:47,110 --> 00:17:49,450] 就是這個美貌好像一百年前是美的
[00:17:49,450 --> 00:17:51,850] 它一百年後它也是美的 是吧
[00:17:51,850 --> 00:17:53,650] 那麼當你見過了世面之後
[00:17:53,650 --> 00:17:57,470] 你就會對於這種美它變來變去的這些潮流
[00:17:57,470 --> 00:18:00,070] 還有什麼消費主義所生產出來那些概念
[00:18:00,070 --> 00:18:01,290] 你就會趣味了
[00:18:01,290 --> 00:18:03,670] 這個時候你就會慢慢地去找到一些
[00:18:03,670 --> 00:18:07,310] 和你自己本身風格最貼近的
[00:18:07,310 --> 00:18:10,050] 和你天然的样子最像的
[00:18:10,050 --> 00:18:14,010] 也是被大家所公认的一种好看的暗粒样本
[00:18:14,010 --> 00:18:16,870] 那当你找到了这样的暗粒样本的时候呢
[00:18:16,870 --> 00:18:21,090] 你是可以照着这个样本去进行微微的调整的
[00:18:21,090 --> 00:18:24,750] 因为这种样本本身它跟你本人就有很多接近的地方
[00:18:24,750 --> 00:18:26,990] 那么你如果想靠近它
[00:18:26,990 --> 00:18:29,950] 你所要调整的这种幅度其实是很小的
[00:18:29,950 --> 00:18:31,770] 至于呢你找到那个暗粒样本之后
[00:18:31,770 --> 00:18:33,810] 可能你都不用真的去找
[00:18:33,810 --> 00:18:36,130] 你可能只需要通过这个
[00:18:36,130 --> 00:18:38,770] 妝容啊 打扮啊 髮型啊等等
[00:18:38,770 --> 00:18:41,970] 去調整一下整體的這個比例和氛圍
[00:18:41,970 --> 00:18:43,090] 你就可以做到了
[00:18:43,090 --> 00:18:44,010] 這樣一來呢
[00:18:44,010 --> 00:18:45,650] 你就不用一直追著潮流
[00:18:45,650 --> 00:18:48,350] 也能把自己變成一種公認的美女
[00:18:48,350 --> 00:18:51,210] 同時呢 由於你調整的幅度非常的小
[00:18:51,210 --> 00:18:53,110] 你的臉呢 沒有大東乾哥
[00:18:53,110 --> 00:18:56,150] 那麼它壞的概率也會非常非常的小
[00:18:56,150 --> 00:18:58,490] 自然然就會更容易獲得一張
[00:18:58,490 --> 00:19:00,690] 穿越周期的美貌的臉
[00:19:00,690 --> 00:19:03,270] 很多的人他甚至於是跟我們的這個理念
[00:19:03,270 --> 00:19:04,690] 他是反著的 是吧
[00:19:04,690 --> 00:19:09,090] 就是她想要的那個美完全跟她這張臉是完全不搭尬的
[00:19:09,090 --> 00:19:12,250] 所以她就要大動綱哥地去做她那張臉
[00:19:12,250 --> 00:19:15,730] 然後導致最後那個臉做的就是妖魔鬼怪一樣
[00:19:15,730 --> 00:19:18,550] 你看呢那我們其實可以不追潮流
[00:19:18,550 --> 00:19:22,250] 而是根據穩定的審美框架來讓自己獲得美貌的
[00:19:22,250 --> 00:19:26,470] 那我覺得這個其實才是一種理性的消費策略
[00:19:26,470 --> 00:19:30,430] 第二啊就是不以向下炫耀為目的
[00:19:30,430 --> 00:19:33,790] 很多人呢他會有一種依景還鄉的心態
[00:19:33,790 --> 00:19:36,710] 就是他們可能是從比如說村裡的出來的
[00:19:36,710 --> 00:19:38,250] 然後呢賺了一點錢啦
[00:19:38,250 --> 00:19:39,370] 飛黃騰達啦
[00:19:39,370 --> 00:19:43,250] 就老想著說我回去要跟我的鄉村父老炫耀一下
[00:19:43,250 --> 00:19:46,470] 讓自己還有自己的家人長長面子之類的
[00:19:46,470 --> 00:19:49,330] 那其實這種想法我不是特別的支持
[00:19:49,330 --> 00:19:51,230] 我認為炫啊
[00:19:51,230 --> 00:19:55,470] 咱們一定要想辦法基於向上鏈接去炫
[00:19:55,470 --> 00:19:57,890] 不能夠去往下炫耀
[00:19:57,890 --> 00:20:01,230] 我覺得往下炫耀至少它有兩個壞處
[00:20:01,230 --> 00:20:02,910] 第一個你會招人恨
[00:20:02,910 --> 00:20:09,830] 第二个呢,你花的钱除了满足自己的虚荣心以外,它不产生任何额外的价值
[00:20:09,830 --> 00:20:11,990] 除非你说你是想骗别人钱,对吧?
[00:20:12,190 --> 00:20:15,470] 你要大面积的去割底层人民的韭菜
[00:20:15,470 --> 00:20:16,810] 你说你要干PQP
[00:20:16,810 --> 00:20:22,570] 那么你除此以外,我认为像下一次那样,不会撬动任何更大的价值
[00:20:22,570 --> 00:20:24,150] 纯纯就是一种浪费
[00:20:24,150 --> 00:20:29,130] 举个例子啊,就是像我第一次,我的这个小助理刚开始见面的时候呢
[00:20:29,130 --> 00:20:30,610] 我就一直跟他讲,我说
[00:20:30,610 --> 00:20:32,330] 你就答应我一件事
[00:20:32,330 --> 00:20:35,170] 你别跟我一起挣了钱以后回老家买房
[00:20:35,170 --> 00:20:37,570] 你可别回农村干一次间房
[00:20:37,570 --> 00:20:39,890] 当时我就一直在跟他讲这个事
[00:20:39,890 --> 00:20:41,510] 我说因为每个人的
[00:20:41,510 --> 00:20:43,610] 中国人的人生理想
[00:20:43,610 --> 00:20:45,390] 抱负之一可能呢
[00:20:45,390 --> 00:20:47,130] 就是想要光宗耀祖
[00:20:47,130 --> 00:20:49,590] 那我觉得大家要去克制
[00:20:49,590 --> 00:20:51,370] 这种想要去所谓的
[00:20:51,370 --> 00:20:52,870] 光宗耀祖这样的欲望
[00:20:52,870 --> 00:20:54,090] 那么大家可能会觉得
[00:20:54,090 --> 00:20:56,070] 我一定要有自己的房子
[00:20:56,070 --> 00:20:58,050] 要落叶归根是吧
[00:20:58,050 --> 00:21:02,130] 还有呢很多的人到大城市里头去混辛辛苦苦省事俭用
[00:21:02,130 --> 00:21:03,790] 就是为了以后回老家
[00:21:03,790 --> 00:21:06,930] 能够让所谓的亲朋好友高看自己一眼
[00:21:06,930 --> 00:21:09,910] 我以前认识的很多很多的小老板就是这样的
[00:21:09,910 --> 00:21:14,550] 他们以前都是从很普通的这种小地方出来的
[00:21:14,550 --> 00:21:16,270] 然后他们到大城市打拼
[00:21:16,270 --> 00:21:19,730] 赚钱的第一件事就是回老家去盖房子
[00:21:19,730 --> 00:21:20,730] 觉得很长脸
[00:21:20,730 --> 00:21:22,950] 无一例外在几年之后
[00:21:22,950 --> 00:21:26,030] 他们都会意识到这是一个非常错误的决策
[00:21:26,030 --> 00:21:28,830] 因为他们老家所盖的那套房子
[00:21:28,830 --> 00:21:31,290] 几乎没有任何的投资属性
[00:21:31,290 --> 00:21:33,470] 只会贬值 不会增值
[00:21:33,470 --> 00:21:36,330] 大家要知道啊 其实那个时候他们本来
[00:21:36,330 --> 00:21:39,990] 在赚钱的时候显然是处于事业的上升期的
[00:21:39,990 --> 00:21:42,110] 如果说他们能够把这个现金流
[00:21:42,110 --> 00:21:44,650] 用在更有价值 更有意义的地方
[00:21:44,650 --> 00:21:45,930] 那么它很有可能
[00:21:45,930 --> 00:21:47,790] 事业就会起飞的更快
[00:21:47,790 --> 00:21:49,930] 可能到今天就会呈现
[00:21:49,930 --> 00:21:52,490] 跟现在完全不一样的一个量级了
[00:21:52,490 --> 00:21:53,370] 但是呢 没有办法
[00:21:53,370 --> 00:21:55,350] 他们把自己的第一桶金啊
[00:21:55,350 --> 00:21:57,970] 直接全部花掉,拿去光宗藥組了
[00:21:57,970 --> 00:22:00,490] 拿去給父母炫耀了
[00:22:00,490 --> 00:22:03,610] 那麼這筆錢其實花得不太值當的
[00:22:03,610 --> 00:22:06,270] 所以我才一再強調不要向下炫耀
[00:22:06,270 --> 00:22:07,950] 那麼基於同樣的邏輯
[00:22:07,950 --> 00:22:11,790] 我也不太參與很古早的同學聚會
[00:22:11,790 --> 00:22:14,990] 雖然說在我的同學裡也會有非常非常多厲害的人
[00:22:14,990 --> 00:22:16,670] 但是當我明確的知道
[00:22:16,670 --> 00:22:21,690] 如果我在這個圈子裡頭可能目前處於一個比較優異的狀態的時候
[00:22:21,690 --> 00:22:28,470] 我會比較慎重的去跟這個圈子過多的結交
[00:22:28,470 --> 00:22:33,930] 因為我有時候還會害怕說我會不會刺痛到別人的自尊心
[00:22:33,930 --> 00:22:36,350] 我擔心給他人帶來壓力
[00:22:36,350 --> 00:22:38,690] 而且當我想要去跟
[00:22:38,690 --> 00:22:41,490] 可能大家好像原來都是同學
[00:22:41,490 --> 00:22:42,830] 原來都是差不多的
[00:22:42,830 --> 00:22:45,750] 可是現在好像大家的這個差距比較大了以後
[00:22:45,750 --> 00:22:48,430] 那我覺得我為了跟你一起玩
[00:22:48,430 --> 00:22:50,810] 我在花錢的時候還要捏手捏腳
[00:22:50,810 --> 00:22:54,310] 我还要收敛着自己的真实状态去跟你社交
[00:22:54,310 --> 00:22:57,710] 那这种社交状态呢 其实会让我觉得有点痛苦啊
[00:22:57,710 --> 00:22:59,030] 我就觉得没有太大必要
[00:22:59,030 --> 00:23:02,330] 所以呢 我干脆就不太参与这样的活动了
[00:23:02,330 --> 00:23:05,270] 经济是同学聚会 包括什么亲戚聚会
[00:23:05,270 --> 00:23:06,510] 那就更不用说了
[00:23:06,510 --> 00:23:08,510] 我以前其实也跟大家说过了的
[00:23:08,510 --> 00:23:12,350] 那么我呢 是几乎不太去跟那些
[00:23:12,350 --> 00:23:15,490] 就是各种各样的亲戚去进行太多互动的
[00:23:15,490 --> 00:23:18,330] 那这种互动呢 我觉得就交给我妈妈就可以了
[00:23:18,330 --> 00:23:21,850] 那我还是希望在我人生当中的每一个动作呀
[00:23:21,850 --> 00:23:24,590] 它都是有一定的负力效应而存在的
[00:23:24,590 --> 00:23:27,290] 它都是能够去达成多种目的
[00:23:27,290 --> 00:23:28,770] 多种目标的
[00:23:28,770 --> 00:23:29,570] 因为只有这样
[00:23:29,570 --> 00:23:32,550] 我觉得我当下的这个动作的投入产出比
[00:23:32,550 --> 00:23:33,610] 它才是高的
[00:23:33,610 --> 00:23:37,330] 才能够用更小的力气去撬动更大的资源
[00:23:37,330 --> 00:23:37,830] 所以呢
[00:23:37,830 --> 00:23:39,850] 我不希望吃饭只是吃饭
[00:23:39,850 --> 00:23:41,370] 喝茶只是喝茶
[00:23:41,370 --> 00:23:44,470] 我也更加不希望我买车买房的这个动作
[00:23:44,470 --> 00:23:48,090] 只为了实现满足自己虚荣心这一个目标
[00:23:48,090 --> 00:23:50,590] 这个在我眼里其实是一种浪费
[00:23:50,590 --> 00:23:53,490] 当反为什么我那么喜欢向上设教呢
[00:23:53,490 --> 00:23:57,190] 因为在和高价值的人聊天和吃饭的过程当中呢
[00:23:57,190 --> 00:23:58,430] 我除了聊天吃饭
[00:23:58,430 --> 00:24:01,470] 我会吸纳到很多有用的信息
[00:24:01,470 --> 00:24:02,710] 那这些信息
[00:24:02,710 --> 00:24:07,670] 它会成为我的谈资和探索未来可能性的一种依据
[00:24:07,670 --> 00:24:10,770] 这个过程于我而言它就是有负力的
[00:24:10,770 --> 00:24:14,070] 所以这样的做法它才是对我来说更有价值的
[00:24:14,070 --> 00:24:16,530] 在这里呢我也稍微的衍生一下啊
[00:24:16,530 --> 00:24:17,730] 那么据我观察下来
[00:24:17,730 --> 00:24:20,370] 一个特别热衷于当鸡头
[00:24:20,370 --> 00:24:22,290] 特别反感当凤尾的人
[00:24:22,290 --> 00:24:25,070] 往往他们的人生成长的天花板
[00:24:25,070 --> 00:24:26,330] 就会比较的矮
[00:24:26,330 --> 00:24:28,170] 这样的人其实就是喜欢在那些
[00:24:28,170 --> 00:24:29,650] 不如他的圈子里面
[00:24:29,650 --> 00:24:31,470] 反复地去寻求一种
[00:24:31,470 --> 00:24:33,130] 成就感和优越感
[00:24:33,130 --> 00:24:35,730] 而当他去跟更高位的圈子接触的时候
[00:24:35,730 --> 00:24:39,050] 他会有非常明显的不屑和闪躲
[00:24:39,050 --> 00:24:40,850] 比如说像很多人他会说
[00:24:40,850 --> 00:24:42,610] 圈子不同不必强容
[00:24:42,610 --> 00:24:45,070] 那么本质上其实他们只能享受
[00:24:45,070 --> 00:24:47,150] 跟别人平行的吹牛
[00:24:47,150 --> 00:24:49,090] 或者說被人崇拜的感覺
[00:24:49,090 --> 00:24:53,110] 但是呢他們卻不勇於去直面自己的弱小
[00:24:53,110 --> 00:24:56,330] 那麼從而去完成人生的自我突破
[00:24:56,330 --> 00:24:59,230] 就像剛剛我提到的回老家蓋自建房的人呢
[00:24:59,230 --> 00:25:03,050] 或者說熱衷於參加各種親戚同學聚會的人啊
[00:25:03,050 --> 00:25:05,570] 他們可能比別人稍微努力一點
[00:25:05,570 --> 00:25:08,690] 可能比別人也心稍微大那麼一丟丟
[00:25:08,690 --> 00:25:11,350] 所以呢他比他們那些同出身的人
[00:25:11,350 --> 00:25:14,710] 可能稍微拿到了多一點點的成績
[00:25:14,710 --> 00:25:18,430] 可是呢,我們卻能看到他們的天花板非常明顯
[00:25:18,430 --> 00:25:20,810] 他們的目光始終還是在向下看
[00:25:20,810 --> 00:25:22,730] 而不是在向上看的
[00:25:22,730 --> 00:25:25,350] 我覺得野心如果真的很大的人
[00:25:25,350 --> 00:25:28,530] 他大概率行動路徑應該都是跟我差不多的
[00:25:28,530 --> 00:25:31,530] 我們永遠都只會在關注更高的全層
[00:25:31,530 --> 00:25:36,350] 永遠都只會為了更高的門檻而去買單
[00:25:36,350 --> 00:25:39,590] 所以反過來說,什麼樣的人他會是潛力股呢?
[00:25:39,650 --> 00:25:42,490] 其實就是您當鳳尾,不當雞頭的人
[00:25:42,490 --> 00:25:46,070] 就是一直堅定不移的向上社交的人
[00:25:46,070 --> 00:25:48,270] 無論別人怎麼冷眼的來看
[00:25:48,270 --> 00:25:50,430] 無論別人的態度如何的不好
[00:25:50,430 --> 00:25:52,170] 他都會去往下咽
[00:25:52,170 --> 00:25:54,110] 他會自己消化這個情緒
[00:25:54,110 --> 00:25:55,050] 然後呢
[00:25:55,050 --> 00:25:57,250] 若無其事地繼續跟你交往
[00:25:57,250 --> 00:26:00,250] 那這樣的人的人生目標他是非常明確的
[00:26:00,250 --> 00:26:04,250] 他知道自己想要什麼以及我如何去達成
[00:26:04,250 --> 00:26:05,550] 那麼我相信這樣的人
[00:26:05,550 --> 00:26:08,190] 他也遲早都是會出人頭地的
[00:26:08,190 --> 00:26:10,710] 第三就是考慮機會成本
[00:26:10,710 --> 00:26:12,730] 簡單來說就是你要去思考
[00:26:12,730 --> 00:26:15,570] 同樣的一筆錢我花到ABC
[00:26:15,570 --> 00:26:16,990] 哪個領域當中
[00:26:16,990 --> 00:26:19,850] 哪一個的投入產出比它是最大的
[00:26:19,850 --> 00:26:21,670] 就好比我們在花錢的時候
[00:26:21,670 --> 00:26:23,110] 不能夠只想著說
[00:26:23,110 --> 00:26:24,630] 我要不要買這個包
[00:26:24,630 --> 00:26:27,850] 還是要去想這筆錢到底是花在買包上
[00:26:27,850 --> 00:26:29,310] 還是買課學習上
[00:26:29,310 --> 00:26:31,210] 還是拿去投資理財上
[00:26:31,210 --> 00:26:33,550] 哪一個做法我的投入的
[00:26:33,550 --> 00:26:35,330] 產出比是最高的呢
[00:26:35,330 --> 00:26:38,110] 我們要看到生活當中有多個選項
[00:26:38,110 --> 00:26:38,970] 多個機會
[00:26:38,970 --> 00:26:41,930] 並且去思考同樣的時間經歷金錢
[00:26:41,930 --> 00:26:44,250] 投入到哪個選項和機會當中
[00:26:44,250 --> 00:26:47,410] 能產出更大的可能性
[00:26:47,410 --> 00:26:50,210] 那麼這個才是真正理性的思考
[00:26:50,210 --> 00:26:51,230] 我舉個例子
[00:26:51,230 --> 00:26:53,750] 我前兩天就有看到一個視頻
[00:26:53,750 --> 00:26:56,330] 視頻裡頭它就講到說一個媽媽
[00:26:56,330 --> 00:26:58,490] 就是一個買東西的一個故事
[00:26:58,490 --> 00:27:01,330] 她整個過程就顯得很敏感很痛苦
[00:27:01,330 --> 00:27:02,530] 她的故事是這樣的
[00:27:02,530 --> 00:27:05,430] 她說她想給自己的兒子買雙涼鞋
[00:27:05,430 --> 00:27:08,250] 那雙涼鞋就是她第一次看到的時候
[00:27:08,250 --> 00:27:10,330] 大概就在130块钱左右
[00:27:10,330 --> 00:27:12,150] 结果他正在准备下单的时候
[00:27:12,150 --> 00:27:15,770] 他就发现算法给他推进了一双一模一样的
[00:27:15,770 --> 00:27:17,350] 而那一双只要110
[00:27:17,990 --> 00:27:20,470] 结果呢他正想买那个110的
[00:27:20,470 --> 00:27:21,950] 结果在准备下单的时候
[00:27:21,950 --> 00:27:23,990] 又发现另外一双一模一样的
[00:27:23,990 --> 00:27:25,290] 只要90多
[00:27:25,290 --> 00:27:27,350] 结果他就又陷入了新的纠结
[00:27:27,350 --> 00:27:30,870] 他就开始全网搜罗最低的价格
[00:27:30,870 --> 00:27:34,170] 然后他就发现这个鞋子有各种各样的价格
[00:27:34,170 --> 00:27:35,890] 一个比一个便宜
[00:27:35,890 --> 00:27:39,210] 那么他就在这双130块钱左右的粮鞋上面
[00:27:39,210 --> 00:27:41,710] 花了整整三个晚上的时间
[00:27:41,710 --> 00:27:45,210] 最后还是没有办法买下这双粮鞋
[00:27:45,210 --> 00:27:48,030] 然后呢他老公就在旁边说了一句
[00:27:48,030 --> 00:27:51,290] 你就为了130块钱搞了三天
[00:27:51,290 --> 00:27:53,410] 一下子就觉得五雷轰顶
[00:27:53,410 --> 00:27:56,410] 因为他发现好像自己的时间不值钱
[00:27:56,410 --> 00:27:58,810] 如果我们复盘一下这个妈妈的做法呢
[00:27:58,810 --> 00:28:01,330] 就会发现其实他最大的误区
[00:28:01,330 --> 00:28:04,930] 就是指定着130块钱的粮鞋
[00:28:04,930 --> 00:28:09,310] 这一个选项,他只想着货币三家找到最便宜的
[00:28:09,310 --> 00:28:13,370] 但是实际上他没有想过,用来挑选良鞋的这个时间
[00:28:13,370 --> 00:28:17,970] 如果花在工作上,花在学习上,甚至花在社交上
[00:28:17,970 --> 00:28:21,670] 可能他早就赚的不止130块了
[00:28:21,670 --> 00:28:25,550] 那么当他不断地再去对比价格看似呢实在省钱
[00:28:25,550 --> 00:28:31,130] 实际上他是浪费了,错过了拿更大结果的时间机会
[00:28:31,130 --> 00:28:32,370] 我再举个例子
[00:28:32,370 --> 00:28:36,110] 那我到現在其實都是有幾百萬的外債收不回來的
[00:28:36,650 --> 00:28:40,790] 那我每一次一想到這個外債就會非常非常的頭疼
[00:28:40,790 --> 00:28:44,570] 說實話,我肯定是想收回這個錢的
[00:28:44,570 --> 00:28:47,330] 但是我一直沒有去收,為什麼呢?
[00:28:47,530 --> 00:28:51,270] 因為我現在的時間成本太高了
[00:28:51,270 --> 00:28:55,190] 同樣的這個時間我拿去拓展業務開拓新的項目
[00:28:55,190 --> 00:28:57,930] 或者是跟員工開開會,激勵一下他們
[00:28:57,930 --> 00:29:01,730] 可能都能賺的比那個外債要多更多
[00:29:01,730 --> 00:29:05,650] 所以如果這個時候我還要不停地去糾結於那個外債
[00:29:05,650 --> 00:29:08,170] 本質上我依然是虧的
[00:29:08,170 --> 00:29:10,170] 我浪費了自己的時間精力
[00:29:10,170 --> 00:29:11,930] 那這個其實就是我說的
[00:29:11,930 --> 00:29:15,510] 同樣一筆錢或者是同樣的一個時間
[00:29:15,510 --> 00:29:19,420] 你要去思考我拿來做什麼樣的事情放在哪裡
[00:29:19,420 --> 00:29:22,000] 才能夠達到利益更大化
[00:29:22,000 --> 00:29:26,560] 那麼同樣為什麼大家看我現在這麼堅定不移地去走雄進
[00:29:26,560 --> 00:29:29,220] 根本就不會去考慮向上走
[00:29:29,220 --> 00:29:31,380] 什麼找大哥是吧
[00:29:31,380 --> 00:29:33,560] 因为呢,我现在很清楚
[00:29:33,560 --> 00:29:37,580] 现在同等的时间跟精力投入到我的事业上
[00:29:37,580 --> 00:29:40,840] 那么我每年的营收它是过亿的
[00:29:40,840 --> 00:29:44,200] 可能呢它怎么都能沉淀出上千万的现金流,对吗
[00:29:44,200 --> 00:29:49,260] 可是如果我拿着这个时间精力去搞男人,向上走
[00:29:49,260 --> 00:29:51,520] 那么我认为任何一个男人
[00:29:51,520 --> 00:29:58,640] 目前都不可能在现在啊,一年之内让我手上一下子沉淀出几千万的现金流,对吗
[00:29:58,640 --> 00:30:02,040] 那其实这个呢就是一个清清楚楚的数学题
[00:30:02,040 --> 00:30:04,380] 我在之前的课里面给大家讲过
[00:30:04,380 --> 00:30:08,220] 就是我给闺蜜联盟的小姐姐出模画册也是一样的
[00:30:08,220 --> 00:30:10,820] 她说她本来呢今年一年只想做富贷外
[00:30:10,820 --> 00:30:13,040] 其中呢雄近要赚250万
[00:30:13,040 --> 00:30:14,700] 慈进赚150万
[00:30:14,700 --> 00:30:15,620] 然后我就跟她讲
[00:30:15,620 --> 00:30:18,540] 我说你应该直接靠雄近赚1000万
[00:30:18,540 --> 00:30:21,060] 然后呢再给男的花150万
[00:30:21,060 --> 00:30:23,960] 那本质上的这个其实也是在考虑机会成本
[00:30:23,960 --> 00:30:26,300] 因为我已经判断出了
[00:30:26,300 --> 00:30:28,460] 他当下所从事的这个行业
[00:30:28,460 --> 00:30:29,500] 壁垒很高
[00:30:29,500 --> 00:30:31,300] 利润空间很大
[00:30:31,300 --> 00:30:33,760] 那么是一个非常好的上升周期
[00:30:33,760 --> 00:30:35,720] 所以与其花时间精力
[00:30:35,720 --> 00:30:38,080] 在男人身上去拿那点小结果
[00:30:38,080 --> 00:30:39,980] 不如直接把所有的时间精力
[00:30:39,980 --> 00:30:41,800] all in在他的事业里
[00:30:41,800 --> 00:30:43,800] 能够拿到更大的结果
[00:30:43,800 --> 00:30:46,560] 那其实呢这个就是我们不断地在预判
[00:30:46,560 --> 00:30:48,380] 我们到底把钱花在哪
[00:30:48,380 --> 00:30:50,320] 把时间投入在哪个点位上
[00:30:50,320 --> 00:30:51,540] 才能利益最大化
[00:30:51,540 --> 00:30:54,500] 那现在呢已经到了今年的年底了
[00:30:54,500 --> 00:30:58,100] 那實際上它已經掙到了我所說的一千萬了
[00:30:58,100 --> 00:31:02,760] 我認為這個也是代表的我很好的一個決策能力
[00:31:02,760 --> 00:31:06,520] 以上就是我們所說的理性消費的三個點位
[00:31:06,520 --> 00:31:09,300] 那最後我要給各位寶寶分享一下
[00:31:09,300 --> 00:31:12,960] 到底如何提高對金錢的駕馭能力
[00:31:12,960 --> 00:31:15,100] 我認為其實就是六個字
[00:31:15,100 --> 00:31:17,160] 該花花該省省
[00:31:17,160 --> 00:31:18,500] 前半句該花花
[00:31:18,500 --> 00:31:20,520] 我想我已經講得很清楚了
[00:31:20,520 --> 00:31:22,780] 要去買貴的有品質的
[00:31:22,780 --> 00:31:24,560] 能夠穿越周期的產品
[00:31:24,560 --> 00:31:26,320] 那這裡就不再贅述了
[00:31:26,320 --> 00:31:28,880] 我們再來重點講一下該省省
[00:31:28,880 --> 00:31:32,520] 說實話我呢其實是一個
[00:31:33,360 --> 00:31:35,820] 挺挺節省的一個人
[00:31:35,820 --> 00:31:37,660] 說起來大家可能不相信啊
[00:31:37,660 --> 00:31:39,720] 因為大家都會覺得我天天都在買
[00:31:39,720 --> 00:31:40,780] 奢侈品什麼的
[00:31:40,780 --> 00:31:42,740] 怎麼可能是節儉的人呢
[00:31:42,740 --> 00:31:44,220] 但是呢我還是那句話
[00:31:44,220 --> 00:31:45,820] 就是節儉與否
[00:31:45,820 --> 00:31:49,300] 不是看你花錢的數額的大小決定的
[00:31:49,300 --> 00:31:51,400] 不是說你花的少你就是節儉
[00:31:51,400 --> 00:31:55,460] 而是你每一笔钱都得花得有必要
[00:31:55,460 --> 00:31:56,660] 花得不浪费
[00:31:56,660 --> 00:31:58,600] 我觉得这个才是真正的借鉴
[00:31:58,600 --> 00:32:00,680] 比如说在买吃的喝的上面
